#  Theta paroi en deg  Angle Choc en deg        Kp           Inverse Mach       Mach amont       Mach aval
    15.23082088       34.06277778        0.20713815        0.41210542        2.00000000        1.83047470
    15.31818948       34.12277778        0.20909653        0.41129359        2.00000000        1.82815153
    15.40506440       34.18277778        0.21105155        0.41048292        2.00000000        1.82583264
    15.49145782       34.24277778        0.21300334        0.40967335        2.00000000        1.82351802
    15.57738150       34.30277778        0.21495204        0.40886481        2.00000000        1.82120763
    15.66284440       34.36277778        0.21689773        0.40805726        2.00000000        1.81890143
    15.74785956       34.42277778        0.21884057        0.40725061        2.00000000        1.81659939
    15.83243400       34.48277778        0.22078062        0.40644483        2.00000000        1.81430149
    15.91658000       34.54277778        0.22271803        0.40563985        2.00000000        1.81200768
    16.00030475       34.60277778        0.22465285        0.40483562        2.00000000        1.80971795
    16.08361774       34.66277778        0.22658520        0.40403209        2.00000000        1.80743225
    16.16652854       34.72277778        0.22851518        0.40322920        2.00000000        1.80515056
    16.24904414       34.78277778        0.23044287        0.40242691        2.00000000        1.80287285
    16.33117272       34.84277778        0.23236833        0.40162518        2.00000000        1.80059909
    16.41292223       34.90277778        0.23429167        0.40082395        2.00000000        1.79832924
    16.49430090       34.96277778        0.23621297        0.40002318        2.00000000        1.79606329
    16.57531505       35.02277778        0.23813230        0.39922283        2.00000000        1.79380120
    16.65597172       35.08277778        0.24004972        0.39842286        2.00000000        1.79154294
    16.73627771       35.14277778        0.24196531        0.39762323        2.00000000        1.78928848
    16.81623953       35.20277778        0.24387913        0.39682390        2.00000000        1.78703780
    16.89586351       35.26277778        0.24579125        0.39602482        2.00000000        1.78479087
    16.97515573       35.32277778        0.24770173        0.39522597        2.00000000        1.78254766
    17.05412207       35.38277778        0.24961062        0.39442731        2.00000000        1.78030815
    17.13276821       35.44277778        0.25151799        0.39362880        2.00000000        1.77807230
    17.21110058       35.50277778        0.25342391        0.39283040        2.00000000        1.77584010
    17.28912371       35.56277778        0.25532842        0.39203208        2.00000000        1.77361151
    17.36684272       35.62277778        0.25723156        0.39123382        2.00000000        1.77138651
    17.44426258       35.68277778        0.25913338        0.39043558        2.00000000        1.76916508
    17.52138886       35.74277778        0.26103394        0.38963733        2.00000000        1.76694719
    17.59822639       35.80277778        0.26293330        0.38883904        2.00000000        1.76473281
    17.67477886       35.86277778        0.26483147        0.38804067        2.00000000        1.76252192
