#    eta               f             df/deta       d2f/deta^2       d3f/deta^3            v Rex
# -0.10000000E+00    # beta 
 0.00000000E+00  0.00000000E+00  0.00000000E+00  0.22026906E+00  0.00000000E+00  0.00000000E+00
 0.60000003E-02  0.37678471E-05  0.13223473E-02  0.22054049E+00  0.47618569E-01  0.20831184E-05
 0.12000001E-01  0.15474639E-04  0.26464045E-02  0.22082619E+00  0.47617087E-01  0.81411081E-05
 0.18000001E-01  0.35130661E-04  0.39721760E-02  0.22111189E+00  0.47614597E-01  0.18184255E-04
 0.24000001E-01  0.62746197E-04  0.52996616E-02  0.22139757E+00  0.47611095E-01  0.32222843E-04
 0.30000001E-01  0.98331533E-04  0.66288612E-02  0.22168322E+00  0.47606575E-01  0.50267156E-04
 0.36000002E-01  0.14189695E-03  0.79597746E-02  0.22196885E+00  0.47601032E-01  0.72327475E-04
 0.42000002E-01  0.19345273E-03  0.92924017E-02  0.22225443E+00  0.47594462E-01  0.98414078E-04
 0.48000002E-01  0.25300916E-03  0.10626742E-01  0.22253998E+00  0.47586858E-01  0.12853724E-03
 0.54000003E-01  0.32057652E-03  0.11962796E-01  0.22282548E+00  0.47578217E-01  0.16270724E-03
 0.60000003E-01  0.39616508E-03  0.13300562E-01  0.22311092E+00  0.47568534E-01  0.20093435E-03
 0.66000003E-01  0.47978511E-03  0.14640041E-01  0.22339630E+00  0.47557802E-01  0.24322883E-03
 0.72000003E-01  0.57144691E-03  0.15981232E-01  0.22368161E+00  0.47546018E-01  0.28960094E-03
 0.78000004E-01  0.67116072E-03  0.17324135E-01  0.22396685E+00  0.47533176E-01  0.34006093E-03
 0.84000004E-01  0.77893684E-03  0.18668749E-01  0.22425201E+00  0.47519271E-01  0.39461907E-03
 0.90000004E-01  0.89478551E-03  0.20015074E-01  0.22453709E+00  0.47504299E-01  0.45328560E-03
 0.96000005E-01  0.10187170E-02  0.21363108E-01  0.22482207E+00  0.47488253E-01  0.51607075E-03
 0.10200000E+00  0.11507416E-02  0.22712853E-01  0.22510695E+00  0.47471130E-01  0.58298476E-03
 0.10800001E+00  0.12908695E-02  0.24064306E-01  0.22539172E+00  0.47452924E-01  0.65403786E-03
 0.11400001E+00  0.14391110E-02  0.25417468E-01  0.22567639E+00  0.47433629E-01  0.72924025E-03
 0.12000001E+00  0.15954763E-02  0.26772337E-01  0.22596093E+00  0.47413242E-01  0.80860215E-03
 0.12600001E+00  0.17599758E-02  0.28128914E-01  0.22624535E+00  0.47391757E-01  0.89213377E-03
 0.13200001E+00  0.19326195E-02  0.29487196E-01  0.22652964E+00  0.47369169E-01  0.97984529E-03
