#   Theta paroi en °  Angle Choc en °        Kp           Inverse Mach       Mach amont       Mach aval
6.64357829  7.34026817  0.02805412  0.93946320 50.00000000 16.65011321
6.72567740  7.42912218  0.02874577  0.93880017 50.00000000 16.46944282
6.80774949  7.51797618  0.02944549  0.93813606 50.00000000 16.29237154
6.88979970  7.60683019  0.03015346  0.93747086 50.00000000 16.11879897
6.97182475  7.69568420  0.03086950  0.93680463 50.00000000 15.94862814
7.05382505  7.78453821  0.03159359  0.93613739 50.00000000 15.78176534
7.13580470  7.87339222  0.03232588  0.93546912 50.00000000 15.61812002
7.21776192  7.96224622  0.03306625  0.93479988 50.00000000 15.45760467
7.29969636  8.05110023  0.03381464  0.93412968 50.00000000 15.30013470
7.38161087  8.13995424  0.03457117  0.93345851 50.00000000 15.14562834
7.46350564  8.22880825  0.03533581  0.93278640 50.00000000 14.99400653
7.54537933  8.31766226  0.03610846  0.93211339 50.00000000 14.84519282
7.62723340  8.40651626  0.03688916  0.93143947 50.00000000 14.69911325
7.70907037  8.49537027  0.03767800  0.93076463 50.00000000 14.55569630
7.79088772  8.58422428  0.03847483  0.93008893 50.00000000 14.41487277
7.87268593  8.67307829  0.03927965  0.92941237 50.00000000 14.27657571
7.95446862  8.76193230  0.04009261  0.92873492 50.00000000 14.14074030
8.03623347  8.85078630  0.04091356  0.92805664 50.00000000 14.00730382
8.11798041  8.93964031  0.04174247  0.92737754 50.00000000 13.87620556
8.19971129  9.02849432  0.04257942  0.92669760 50.00000000 13.74738671
8.28142699  9.11734833  0.04342442  0.92601683 50.00000000 13.62079033
8.36312584  9.20620234  0.04427736  0.92533527 50.00000000 13.49636127
8.44480818  9.29505634  0.04513823  0.92465292 50.00000000 13.37404610
8.52647734  9.38391035  0.04600719  0.92396976 50.00000000 13.25379305
8.60813089  9.47276436  0.04688409  0.92328582 50.00000000 13.13555195
8.68976882  9.56161837  0.04776889  0.92260112 50.00000000 13.01927418
8.77139247  9.65047238  0.04866165  0.92191565 50.00000000 12.90491258
8.85300314  9.73932638  0.04956243  0.92122940 50.00000000 12.79242146
8.93459899  9.82818039  0.05047109  0.92054241 50.00000000 12.68175649
9.01618027  9.91703440  0.05138762  0.91985468 50.00000000 12.57287467
9.09774926 10.00588841  0.05231214  0.91916620 50.00000000 12.46573430
9.17930505 10.09474242  0.05324458  0.91847697 50.00000000 12.36029490
9.26084695 10.18359642  0.05418487  0.91778702 50.00000000 12.25651722
9.34237514 10.27245043  0.05513300  0.91709636 50.00000000 12.15436312
9.42389259 10.36130444  0.05608913  0.91640494 50.00000000 12.05379562
9.50539680 10.45015845  0.05705310  0.91571282 50.00000000 11.95477878
9.58688787 10.53901246  0.05802487  0.91501999 50.00000000 11.85727771
9.66836651 10.62786646  0.05900448  0.91432645 50.00000000 11.76125853
9.74983452 10.71672047  0.05999204  0.91363219 50.00000000 11.66668833
9.83128990 10.80557448  0.06098738  0.91293723 50.00000000 11.57353512
9.91273279 10.89442849  0.06199050  0.91224158 50.00000000 11.48176783
9.99416424 10.98328250  0.06300144  0.91154523 50.00000000 11.39135625
10.07558516 11.0721365   0.0640202   0.91084817 50.00000000 11.30227102
