#    eta               f             df/deta       d2f/deta^2       d3f/deta^3            v Rex
# -0.19878900E+00    # beta 
 0.34200002E+00  0.62335695E-03  0.54124894E-02  0.31298705E-01  0.90396880E-01  0.61385726E-03
 0.34800002E+00  0.65636987E-03  0.56018275E-02  0.31841084E-01  0.90396060E-01  0.64653309E-03
 0.35400002E+00  0.69052811E-03  0.57944197E-02  0.32383458E-01  0.90395197E-01  0.68034829E-03
 0.36000002E+00  0.72585117E-03  0.59902663E-02  0.32925827E-01  0.90394289E-01  0.71532239E-03
 0.36600002E+00  0.76235858E-03  0.61893670E-02  0.33468190E-01  0.90393335E-01  0.75147492E-03
 0.37200002E+00  0.80006987E-03  0.63917218E-02  0.34010547E-01  0.90392333E-01  0.78882538E-03
 0.37800002E+00  0.83900457E-03  0.65973308E-02  0.34552898E-01  0.90391283E-01  0.82739330E-03
 0.38400002E+00  0.87918219E-03  0.68061939E-02  0.35095243E-01  0.90390181E-01  0.86719820E-03
 0.39000002E+00  0.92062227E-03  0.70183110E-02  0.35637580E-01  0.90389028E-01  0.90825958E-03
 0.39600002E+00  0.96334432E-03  0.72336822E-02  0.36179911E-01  0.90387820E-01  0.95059698E-03
 0.40200002E+00  0.10073679E-02  0.74523073E-02  0.36722235E-01  0.90386557E-01  0.99422990E-03
 0.40800002E+00  0.10527125E-02  0.76741863E-02  0.37264550E-01  0.90385237E-01  0.10391779E-02
 0.41400002E+00  0.10993976E-02  0.78993192E-02  0.37806858E-01  0.90383857E-01  0.10854604E-02
 0.42000002E+00  0.11474428E-02  0.81277059E-02  0.38349157E-01  0.90382417E-01  0.11330969E-02
 0.42600002E+00  0.11968676E-02  0.83593464E-02  0.38891447E-01  0.90380915E-01  0.11821071E-02
 0.43200002E+00  0.12476915E-02  0.85942406E-02  0.39433728E-01  0.90379348E-01  0.12325103E-02
 0.43800002E+00  0.12999340E-02  0.88323884E-02  0.39976000E-01  0.90377715E-01  0.12843262E-02
 0.44400002E+00  0.13536147E-02  0.90737899E-02  0.40518261E-01  0.90376015E-01  0.13375741E-02
 0.45000002E+00  0.14087531E-02  0.93184449E-02  0.41060512E-01  0.90374244E-01  0.13922737E-02
 0.45600002E+00  0.14653687E-02  0.95663534E-02  0.41602753E-01  0.90372402E-01  0.14484443E-02
 0.46200002E+00  0.15234810E-02  0.98175153E-02  0.42144982E-01  0.90370487E-01  0.15061056E-02
 0.46800002E+00  0.15831096E-02  0.10071930E-01  0.42687199E-01  0.90368496E-01  0.15652771E-02
 0.47400002E+00  0.16442739E-02  0.10329599E-01  0.43229404E-01  0.90366428E-01  0.16259781E-02
 0.48000002E+00  0.17069935E-02  0.10590521E-01  0.43771597E-01  0.90364281E-01  0.16882283E-02
 0.48600002E+00  0.17712879E-02  0.10854695E-01  0.44313776E-01  0.90362052E-01  0.17520472E-02
 0.49200002E+00  0.18371766E-02  0.11122123E-01  0.44855942E-01  0.90359739E-01  0.18174542E-02
 0.49800002E+00  0.19046792E-02  0.11392804E-01  0.45398093E-01  0.90357342E-01  0.18844688E-02
