#  Theta paroi en deg Angle Choc en deg       Kp           Inverse Mach       Mach amont       Mach aval
     0.00000000        4.78019185        0.00000000        0.91666667       12.00000000
     0.60623981        4.78274844        0.00053088        0.91602188       12.00000000       11.99779251
     0.73587991        4.78632557        0.00072987        0.91578728       12.00000000       11.99470712
     0.87446276        4.79296430        0.00096734        0.91551211       12.00000000       11.98899108
     1.02547569        4.80470569        0.00125333        0.91518733       12.00000000       11.97891341
     1.18512512        4.82359082        0.00158499        0.91481933       12.00000000       11.96278842
     1.35180515        4.85166076        0.00196222        0.91441144       12.00000000       11.93900886
     1.52584993        4.89095656        0.00238905        0.91396275       12.00000000       11.90608516
     1.70857708        4.94351929        0.00287289        0.91346944       12.00000000       11.86268566
     1.90173948        5.01139003        0.00342391        0.91292575       12.00000000       11.80767159
     2.10726393        5.09660984        0.00405489        0.91232453       12.00000000       11.74011986
     2.28835085        5.18182965        0.00464921        0.91177684       12.00000000       11.67413597
     2.45355810        5.26704945        0.00522298        0.91126333       12.00000000       11.60959414
     2.60750230        5.35226926        0.00578491        0.91077337       12.00000000       11.54638139
     2.75298137        5.43748907        0.00634031        0.91030045       12.00000000       11.48439602
     2.89182965        5.52270888        0.00689259        0.90984024       12.00000000       11.42354636
     3.02532054        5.60792869        0.00744413        0.90938971       12.00000000       11.36374969
     3.15437696        5.69314850        0.00799661        0.90894666       12.00000000       11.30493121
     3.27969137        5.77836830        0.00855128        0.90850941       12.00000000       11.24702324
     3.40179772        5.86358811        0.00910909        0.90807667       12.00000000       11.18996444
     3.52111740        5.94880792        0.00967076        0.90764741       12.00000000       11.13369918
     3.63798933        6.03402773        0.01023688        0.90722081       12.00000000       11.07817695
     3.75269080        6.11924754        0.01080790        0.90679620       12.00000000       11.02335182
     3.86545165        6.20446734        0.01138419        0.90637300       12.00000000       10.96918204
     3.97646513        6.28968715        0.01196606        0.90595075       12.00000000       10.91562957
     4.08589512        6.37490696        0.01255376        0.90552906       12.00000000       10.86265978
     4.19388232        6.46012677        0.01314750        0.90510758       12.00000000       10.81024108
     4.30054823        6.54534658        0.01374745        0.90468602       12.00000000       10.75834467
     4.40599887        6.63056639        0.01435376        0.90426413       12.00000000       10.70694423
     4.51032721        6.71578619        0.01496655        0.90384170       12.00000000       10.65601575
     4.61361541        6.80100600        0.01558594        0.90341852       12.00000000       10.60553729
     4.71593644        6.88622581        0.01621202        0.90299444       12.00000000       10.55548879
     4.81735545        6.97144562        0.01684486        0.90256931       12.00000000       10.50585189
     4.91793095        7.05666543        0.01748454        0.90214299       12.00000000       10.45660982
     5.01771560        7.14188523        0.01813110        0.90171538       12.00000000       10.40774722
     5.11675714        7.22710504        0.01878462        0.90128638       12.00000000       10.35925002
     5.21509887        7.31232485        0.01944512        0.90085589       12.00000000       10.31110536
     5.31278030        7.39754466        0.02011264        0.90042384       12.00000000       10.26330143
     5.40983757        7.48276447        0.02078723        0.89999016       12.00000000       10.21582745
     5.50630384        7.56798428        0.02146891        0.89955478       12.00000000       10.16867351
     5.60220954        7.65320408        0.02215771        0.89911765       12.00000000       10.12183052
