#  Theta paroi en deg Angle Choc en deg       Kp           Inverse Mach       Mach amont       Mach aval
     0.00000000       14.47751219        0.00000000        0.75000000        4.00000000
     1.33067146       14.47977786        0.00288383        0.74850334        4.00000000        3.99973202
     1.61038750       14.48294794        0.00395910        0.74795394        4.00000000        3.99935718
     1.90905705       14.48883124        0.00524099        0.74730492        4.00000000        3.99866186
     2.23066968       14.49923656        0.00676415        0.74654192        4.00000000        3.99743321
     2.56352474       14.51597271        0.00848640        0.74568961        4.00000000        3.99545996
     2.90103487       14.54084851        0.01037599        0.74476681        4.00000000        3.99253366
     3.24117675       14.57567277        0.01241989        0.74378266        4.00000000        3.98845028
     3.58428625       14.62225430        0.01461868        0.74273960        4.00000000        3.98301211
     3.93176721       14.68240190        0.01698202        0.74163588        4.00000000        3.97602985
     4.28547090       14.75792439        0.01952596        0.74046709        4.00000000        3.96732479
     4.58471957       14.83344687        0.02178565        0.73944491        4.00000000        3.95868711
     4.84865321       14.90896936        0.02385962        0.73851942        4.00000000        3.95011508
     5.08759812       14.98449185        0.02580230        0.73766307        4.00000000        3.94160703
     5.30781316       15.06001434        0.02764727        0.73685887        4.00000000        3.93316134
     5.51340182       15.13553683        0.02941682        0.73609553        4.00000000        3.92477645
     5.70721197       15.21105931        0.03112662        0.73536511        4.00000000        3.91645084
     5.89130724       15.28658180        0.03278809        0.73466182        4.00000000        3.90818306
     6.06723459       15.36210429        0.03440987        0.73398127        4.00000000        3.89997167
     6.23618597       15.43762678        0.03599864        0.73332005        4.00000000        3.89181530
     6.39910063       15.51314926        0.03755969        0.73267545        4.00000000        3.88371262
     6.55673306       15.58867175        0.03909729        0.73204531        4.00000000        3.87566234
     6.70969907       15.66419424        0.04061492        0.73142782        4.00000000        3.86766320
     6.85850836       15.73971673        0.04211548        0.73082148        4.00000000        3.85971400
     7.00358799       15.81523922        0.04360138        0.73022506        4.00000000        3.85181354
     7.14529956       15.89076170        0.04507469        0.72963747        4.00000000        3.84396071
     7.28395221       15.96628419        0.04653715        0.72905780        4.00000000        3.83615438
     7.41981239       16.04180668        0.04799028        0.72848526        4.00000000        3.82839348
