#  Theta paroi en deg Angle Choc en deg       Kp           Inverse Mach       Mach amont       Mach aval
     0.00000000       43.98296313        0.00000000        0.30555556        1.44000000
     2.19161510       43.98434364        0.01006137        0.30060668        1.44000000        1.43995912
     2.56960537       43.98627522        0.01322386        0.29904837        1.44000000        1.43990193
     3.00510713       43.98986000        0.01727435        0.29705050        1.44000000        1.43979580
     3.49071874       43.99620013        0.02227038        0.29458305        1.44000000        1.43960812
     3.99984542       44.00639773        0.02801625        0.29174078        1.44000000        1.43930634
     4.51582216       44.02155495        0.03433809        0.28860786        1.44000000        1.43885797
     5.03081318       44.04277392        0.04112139        0.28523931        1.44000000        1.43823065
     5.54177113       44.07115677        0.04829673        0.28166796        1.44000000        1.43739221
     6.04797218       44.10780565        0.05582406        0.27791212        1.44000000        1.43631073
     6.54978150       44.15382268        0.06368218        0.27398067        1.44000000        1.43495461
     6.96288279       44.19983972        0.07043791        0.27059181        1.44000000        1.43360049
     7.31821306       44.24585676        0.07645083        0.26756837        1.44000000        1.43224836
     7.63254071       44.29187379        0.08192255        0.26481101        1.44000000        1.43089823
     7.91606335       44.33789083        0.08697903        0.26225765        1.44000000        1.42955007
     8.17548446       44.38390787        0.09170490        0.25986656        1.44000000        1.42820389
     8.41546620       44.42992491        0.09616014        0.25760819        1.44000000        1.42685967
     8.63939299       44.47594194        0.10038899        0.25546071        1.44000000        1.42551740
     8.84980590       44.52195898        0.10442517        0.25340749        1.44000000        1.42417709
     9.04866549       44.56797602        0.10829500        0.25143556        1.44000000        1.42283871
     9.23751876       44.61399305        0.11201951        0.24953455        1.44000000        1.42150227
     9.41760966       44.66001009        0.11561578        0.24769602        1.44000000        1.42016775
     9.58995465       44.70602713        0.11909789        0.24591304        1.44000000        1.41883515
     9.75539591       44.75204416        0.12247763        0.24417978        1.44000000        1.41750446
     9.91463966       44.79806120        0.12576496        0.24249134        1.44000000        1.41617568
    10.06828443       44.84407824        0.12896837        0.24084351        1.44000000        1.41484879
    10.21684229       44.89009527        0.13209518        0.23923269        1.44000000        1.41352378
    10.36075502       44.93611231        0.13515176        0.23765574        1.44000000        1.41220066
    10.50040663       44.98212935        0.13814367        0.23610990        1.44000000        1.41087941
    10.63613318       45.02814638        0.14107580        0.23459277        1.44000000        1.40956003
