#  Theta paroi en deg Angle Choc en deg       Kp           Inverse Mach       Mach amont       Mach aval
     0.00000000       67.16983219        0.00000000        0.07834101        1.08500000
     1.93475147       67.17051710        0.01011608        0.07255833        1.08500000        1.08499045
     2.05132042       67.17147540        0.01123018        0.07191860        1.08500000        1.08497709
     2.23053926       67.17325390        0.01303801        0.07087930        1.08500000        1.08495229
     2.47321526       67.17639939        0.01566480        0.06936647        1.08500000        1.08490844
     2.75936278       67.18145867        0.01901875        0.06743015        1.08500000        1.08483792
     3.06937270       67.18897853        0.02295602        0.06515029        1.08500000        1.08473314
     3.39050981       67.19950577        0.02735764        0.06259280        1.08500000        1.08458650
     3.71562655       67.21358720        0.03213962        0.05980374        1.08500000        1.08439047
     4.04092085       67.23176959        0.03724461        0.05681400        1.08500000        1.08413751
     4.36442203       67.25459976        0.04263308        0.05364433        1.08500000        1.08382018
     4.63040572       67.27742993        0.04729280        0.05089166        1.08500000        1.08350317
     4.85838891       67.30026010        0.05144975        0.04842677        1.08500000        1.08318647
     5.05913281       67.32309026        0.05523371        0.04617541        1.08500000        1.08287008
     5.23925920       67.34592043        0.05872719        0.04409035        1.08500000        1.08255401
     5.40315909       67.36875060        0.06198642        0.04213942        1.08500000        1.08223825
     5.55390742       67.39158077        0.06505173        0.04029951        1.08500000        1.08192281
     5.69374893       67.41441093        0.06795314        0.03855343        1.08500000        1.08160768
     5.82437692       67.43724110        0.07071376        0.03688796        1.08500000        1.08129286
     5.94710312       67.46007127        0.07335176        0.03529267        1.08500000        1.08097836
     6.06296623       67.48290144        0.07588177        0.03375920        1.08500000        1.08066417
     6.17280405       67.50573161        0.07831573        0.03228068        1.08500000        1.08035030
     6.27730312       67.52856177        0.08066358        0.03085144        1.08500000        1.08003674
     6.37703364       67.55139194        0.08293364        0.02946670        1.08500000        1.07972349
     6.47247490       67.57422211        0.08513302        0.02812239        1.08500000        1.07941056
     6.56403397       67.59705228        0.08726779        0.02681502        1.08500000        1.07909794
     6.65205983       67.61988245        0.08934321        0.02554158        1.08500000        1.07878564
     6.73685403       67.64271261        0.09136389        0.02429944        1.08500000        1.07847364
     6.81867920       67.66554278        0.09333386        0.02308627        1.08500000        1.07816197
     6.89776555       67.68837295        0.09525668        0.02190005        1.08500000        1.07785060
     6.97431606       67.71120312        0.09713553        0.02073894        1.08500000        1.07753955
     7.04851083       67.73403328        0.09897323        0.01960132        1.08500000        1.07722881
     7.12051030       67.75686345        0.10077233        0.01848575        1.08500000        1.07691838
     7.19045818       67.77969362        0.10253512        0.01739090        1.08500000        1.07660827
