#  Theta paroi en deg Angle Choc en deg       Kp           Inverse Mach       Mach amont       Mach aval
     0.00000000        8.21321070        0.00000000        0.85714286        7.00000000
     0.89912771        8.21566431        0.00123327        0.85620743        7.00000000        6.99923727
     1.09022997        8.21909733        0.00169494        0.85586520        7.00000000        6.99817070
     1.29380546        8.22546862        0.00224382        0.85546368        7.00000000        6.99619322
     1.51376419        8.23673703        0.00289837        0.85499225        7.00000000        6.99270191
     1.74325121        8.25486138        0.00364539        0.85446367        7.00000000        6.98710272
     1.97875807        8.28180054        0.00447698        0.85388662        7.00000000        6.97881704
     2.21974839        8.31951333        0.00539372        0.85326372        7.00000000        6.96729016
     2.46720084        8.36995862        0.00640261        0.85259342        7.00000000        6.95200063
     2.72276891        8.43509523        0.00751532        0.85187158        7.00000000        6.93246996
     2.98838275        8.51688202        0.00874724        0.85109235        7.00000000        6.90827145
     3.21754102        8.59866881        0.00987165        0.85039814        7.00000000        6.88441810
     3.42304680        8.68045560        0.01092853        0.84975941        7.00000000        6.86089348
     3.61180693        8.76224239        0.01193976        0.84915990        7.00000000        6.83768219
     3.78800736        8.84402918        0.01291878        0.84858963        7.00000000        6.81476970
     3.95439237        8.92581597        0.01387444        0.84804198        7.00000000        6.79214239
     4.11286611        9.00760276        0.01481291        0.84751229        7.00000000        6.76978737
     4.26480834        9.08938955        0.01573867        0.84699719        7.00000000        6.74769255
     4.41125319        9.17117634        0.01665505        0.84649410        7.00000000        6.72584650
     4.55299743        9.25296312        0.01756465        0.84600103        7.00000000        6.70423844
     4.69066894        9.33474991        0.01846949        0.84551642        7.00000000        6.68285822
     4.82477201        9.41653670        0.01937116        0.84503898        7.00000000        6.66169623
     4.95571833        9.49832349        0.02027100        0.84456768        7.00000000        6.64074342
     5.08384871        9.58011028        0.02117007        0.84410165        7.00000000        6.61999121
     5.20944876        9.66189707        0.02206928        0.84364014        7.00000000        6.59943150
     5.33276038        9.74368386        0.02296936        0.84318255        7.00000000        6.57905665
     5.45399052        9.82547065        0.02387096        0.84272833        7.00000000        6.55885939
     5.57331756        9.90725744        0.02477462        0.84227703        7.00000000        6.53883289
     5.69089665        9.98904423        0.02568080        0.84182824        7.00000000        6.51897063
     5.80686347       10.07083102        0.02658992        0.84138160        7.00000000        6.49926648
