#  Theta paroi en deg Angle Choc en deg       Kp           Inverse Mach       Mach amont       Mach aval
     0.00000000       19.74519810        0.00000000        0.66216216        2.96000000
     1.61628283       19.74730574        0.00444957        0.66011049        2.96000000        2.95984119
     1.95154366       19.75025471        0.00609533        0.65936007        2.96000000        2.95961904
     2.31151277       19.75572765        0.00806887        0.65846603        2.96000000        2.95920688
     2.69958262       19.76540720        0.01041754        0.65741017        2.96000000        2.95847835
     3.10052570       19.78097601        0.01306867        0.65622868        2.96000000        2.95730773
     3.50546457       19.80411673        0.01596436        0.65495042        2.96000000        2.95557038
     3.91119993       19.83651200        0.01907487        0.65359110        2.96000000        2.95314342
     4.31749762       19.87984446        0.02239106        0.65215715        2.96000000        2.94990651
     4.72548549       19.93579678        0.02591717        0.65064912        2.96000000        2.94574267
     5.13687522       20.00605158        0.02966640        0.64906385        2.96000000        2.94053928
     5.48172978       20.07630638        0.03295612        0.64768778        2.96000000        2.93536306
     5.78342685       20.14656118        0.03594236        0.64645030        2.96000000        2.93021354
     6.05458336       20.21681598        0.03871158        0.64531232        2.96000000        2.92509025
     6.30284812       20.28707079        0.04131726        0.64424970        2.96000000        2.91999274
     6.53323682       20.35732559        0.04379505        0.64324637        2.96000000        2.91492057
     6.74923088       20.42758039        0.04617000        0.64229100        2.96000000        2.90987330
     6.95335328       20.49783519        0.04846047        0.64137531        2.96000000        2.90485050
     7.14749560       20.56808999        0.05068036        0.64049304        2.96000000        2.89985176
     7.33311542       20.63834480        0.05284046        0.63963929        2.96000000        2.89487667
     7.51136157       20.70859960        0.05494934        0.63881020        2.96000000        2.88992483
     7.68315684       20.77885440        0.05701390        0.63800265        2.96000000        2.88499587
     7.84925458       20.84910920        0.05903982        0.63721404        2.96000000        2.88008938
     8.01027840       20.91936400        0.06103183        0.63644226        2.96000000        2.87520501
     8.16675083       20.98961880        0.06299388        0.63568548        2.96000000        2.87034238
     8.31911436       21.05987361        0.06492935        0.63494218        2.96000000        2.86550114
     8.46774729       21.13012841        0.06684113        0.63421103        2.96000000        2.86068094
     8.61297576       21.20038321        0.06873170        0.63349090        2.96000000        2.85588144
     8.75508308       21.27063801        0.07060324        0.63278079        2.96000000        2.85110230
     8.89431704       21.34089281        0.07245765        0.63207983        2.96000000        2.84634320
     9.03089571       21.41114762        0.07429660        0.63138723        2.96000000        2.84160380
     9.16501208       21.48140242        0.07612158        0.63070232        2.96000000        2.83688381
     9.29683783       21.55165722        0.07793390        0.63002448        2.96000000        2.83218290
     9.42652644       21.62191202        0.07973474        0.62935317        2.96000000        2.82750079
     9.55421565       21.69216682        0.08152516        0.62868788        2.96000000        2.82283716
     9.68002968       21.76242163        0.08330612        0.62802818        2.96000000        2.81819174
     9.80408088       21.83267643        0.08507846        0.62737365        2.96000000        2.81356424
     9.92647125       21.90293123        0.08684299        0.62672393        2.96000000        2.80895438
    10.04729373       21.97318603        0.08860039        0.62607868        2.96000000        2.80436189
    10.16663324       22.04344083        0.09035132        0.62543758        2.96000000        2.79978651
    10.28456756       22.11369563        0.09209638        0.62480036        2.96000000        2.79522797
    10.40116818       22.18395044        0.09383610        0.62416675        2.96000000        2.79068601
    10.51650093       22.25420524        0.09557099        0.62353650        2.96000000        2.78616039
    10.63062658       22.32446004        0.09730150        0.62290941        2.96000000        2.78165086
    10.74360138       22.39471484        0.09902806        0.62228525        2.96000000        2.77715718
    10.85547749       22.46496964        0.10075105        0.62166383        2.96000000        2.77267912
    10.96630335       22.53522445        0.10247085        0.62104497        2.96000000        2.76821643
    11.07612410       22.60547925        0.10418778        0.62042851        2.96000000        2.76376891
    11.18498177       22.67573405        0.10590216        0.61981429        2.96000000        2.75933631
    11.29291568       22.74598885        0.10761428        0.61920215        2.96000000        2.75491843
    11.39996261       22.81624365        0.10932442        0.61859197        2.96000000        2.75051506
    11.50615701       22.88649846        0.11103281        0.61798361        2.96000000        2.74612597
    11.61153123       22.95675326        0.11273970        0.61737694        2.96000000        2.74175097
    11.71611568       23.02700806        0.11444532        0.61677186        2.96000000        2.73738986
    11.81993898       23.09726286        0.11614986        0.61616825        2.96000000        2.73304244
    11.92302810       23.16751766        0.11785352        0.61556602        2.96000000        2.72870851
    12.02540847       23.23777247        0.11955648        0.61496506        2.96000000        2.72438789
    12.12710415       23.30802727        0.12125891        0.61436527        2.96000000        2.72008039
    12.22813789       23.37828207        0.12296098        0.61376658        2.96000000        2.71578582
    12.32853119       23.44853687        0.12466283        0.61316890        2.96000000        2.71150402
    12.42830450       23.51879167        0.12636460        0.61257216        2.96000000        2.70723479
    12.52747716       23.58904647        0.12806644        0.61197626        2.96000000        2.70297798
    12.62606756       23.65930128        0.12976846        0.61138115        2.96000000        2.69873340
    12.72409320       23.72955608        0.13147079        0.61078676        2.96000000        2.69450090
    12.82157070       23.79981088        0.13317353        0.61019301        2.96000000        2.69028032
    12.91851594       23.87006568        0.13487679        0.60959985        2.96000000        2.68607149
    13.01494400       23.94032048        0.13658069        0.60900722        2.96000000        2.68187425
    13.11086929       24.01057529        0.13828530        0.60841506        2.96000000        2.67768846
    13.20630558       24.08083009        0.13999072        0.60782331        2.96000000        2.67351396
    13.30126602       24.15108489        0.14169703        0.60723193        2.96000000        2.66935061
    13.39576317       24.22133969        0.14340432        0.60664085        2.96000000        2.66519825
    13.48980905       24.29159449        0.14511266        0.60605005        2.96000000        2.66105676
    13.58341520       24.36184930        0.14682213        0.60545945        2.96000000        2.65692598
    13.67659265       24.43210410        0.14853279        0.60486903        2.96000000        2.65280578
    13.76935196       24.50235890        0.15024471        0.60427874        2.96000000        2.64869603
    13.86170332       24.57261370        0.15195795        0.60368854        2.96000000        2.64459660
    13.95365646       24.64286850        0.15367256        0.60309838        2.96000000        2.64050735
    14.04522074       24.71312331        0.15538862        0.60250823        2.96000000        2.63642815
    14.13640516       24.78337811        0.15710616        0.60191806        2.96000000        2.63235889
    14.22721840       24.85363291        0.15882524        0.60132782        2.96000000        2.62829944
    14.31766875       24.92388771        0.16054590        0.60073748        2.96000000        2.62424968
    14.40776425       24.99414251        0.16226820        0.60014701        2.96000000        2.62020950
    14.49751262       25.06439731        0.16399217        0.59955637        2.96000000        2.61617876
    14.58692131       25.13465212        0.16571786        0.59896553        2.96000000        2.61215737
    14.67599749       25.20490692        0.16744531        0.59837447        2.96000000        2.60814521
    14.76474809       25.27516172        0.16917454        0.59778315        2.96000000        2.60414218
    14.85317980       25.34541652        0.17090561        0.59719155        2.96000000        2.60014815
    14.94129906       25.41567132        0.17263853        0.59659963        2.96000000        2.59616303
    15.02911210       25.48592613        0.17437335        0.59600737        2.96000000        2.59218672
    15.11662497       25.55618093        0.17611009        0.59541475        2.96000000        2.58821910
    15.20384347       25.62643573        0.17784878        0.59482173        2.96000000        2.58426009
    15.29077323       25.69669053        0.17958945        0.59422830        2.96000000        2.58030958
    15.37741973       25.76694533        0.18133212        0.59363442        2.96000000        2.57636748
    15.46378823       25.83720014        0.18307683        0.59304008        2.96000000        2.57243369
    15.54988384       25.90745494        0.18482358        0.59244526        2.96000000        2.56850812
    15.63571150       25.97770974        0.18657242        0.59184992        2.96000000        2.56459067
    15.72127603       26.04796454        0.18832334        0.59125406        2.96000000        2.56068126
    15.80658206       26.11821934        0.19007638        0.59065764        2.96000000        2.55677980
    15.89163411       26.18847415        0.19183156        0.59006065        2.96000000        2.55288620
    15.97643656       26.25872895        0.19358889        0.58946307        2.96000000        2.54900038
    16.06099364       26.32898375        0.19534838        0.58886488        2.96000000        2.54512225
    16.14530949       26.39923855        0.19711007        0.58826606        2.96000000        2.54125173
    16.22938810       26.46949335        0.19887395        0.58766659        2.96000000        2.53738874
    16.31323336       26.53974815        0.20064004        0.58706644        2.96000000        2.53353320
    16.39684904       26.61000296        0.20240836        0.58646562        2.96000000        2.52968504
    16.48023882       26.68025776        0.20417892        0.58586409        2.96000000        2.52584417
    16.56340627       26.75051256        0.20595173        0.58526184        2.96000000        2.52201052
    16.64635486       26.82076736        0.20772681        0.58465886        2.96000000        2.51818402
    16.72908795       26.89102216        0.20950416        0.58405512        2.96000000        2.51436460
    16.81160885       26.96127697        0.21128379        0.58345061        2.96000000        2.51055217
    16.89392073       27.03153177        0.21306571        0.58284532        2.96000000        2.50674669
    16.97602672       27.10178657        0.21484993        0.58223923        2.96000000        2.50294806
    17.05792985       27.17204137        0.21663646        0.58163232        2.96000000        2.49915623
    17.13963307       27.24229617        0.21842530        0.58102459        2.96000000        2.49537113
    17.22113925       27.31255098        0.22021647        0.58041601        2.96000000        2.49159270
    17.30245120       27.38280578        0.22200996        0.57980657        2.96000000        2.48782087
    17.38357164       27.45306058        0.22380578        0.57919627        2.96000000        2.48405557
    17.46450325       27.52331538        0.22560395        0.57858507        2.96000000        2.48029675
    17.54524861       27.59357018        0.22740446        0.57797298        2.96000000        2.47654434
