#  Theta paroi en deg Angle Choc en deg       Kp           Inverse Mach       Mach amont       Mach aval
     0.00000000       40.81318376        0.00000000        0.34640523        1.53000000
     2.17802063       40.81465936        0.00964677        0.34177446        1.53000000        1.52995231
     2.57084950       40.81672399        0.01280998        0.34025493        1.53000000        1.52988558
     3.01633225       40.82055571        0.01680503        0.33833498        1.53000000        1.52976175
     3.50905189       40.82733256        0.02169337        0.33598437        1.53000000        1.52954278
     4.02350254       40.83823260        0.02728869        0.33329184        1.53000000        1.52919069
     4.54384440       40.85443389        0.03342733        0.33033526        1.53000000        1.52866761
     5.06280040       40.87711447        0.04000328        0.32716480        1.53000000        1.52793583
     5.57770790       40.90745242        0.04695394        0.32380973        1.53000000        1.52695787
     6.08812792       40.94662577        0.05424493        0.32028570        1.53000000        1.52569659
     6.59465304       40.99581259        0.06186004        0.31659951        1.53000000        1.52411529
     7.01217712       41.04499940        0.06841260        0.31342286        1.53000000        1.52253662
     7.37178495       41.09418622        0.07425073        0.31058860        1.53000000        1.52096058
     7.69031125       41.14337303        0.07956929        0.30800316        1.53000000        1.51938715
     7.97798782       41.19255985        0.08448983        0.30560819        1.53000000        1.51781632
     8.24153732       41.24174667        0.08909393        0.30336452        1.53000000        1.51624807
     8.48563349       41.29093348        0.09343935        0.30124439        1.53000000        1.51468239
     8.71366798       41.34012030        0.09756866        0.29922738        1.53000000        1.51311928
     8.92818659       41.38930711        0.10151427        0.29729792        1.53000000        1.51155871
     9.13115299       41.43849393        0.10530147        0.29544387        1.53000000        1.51000067
     9.32411633       41.48768075        0.10895044        0.29365553        1.53000000        1.50844515
     9.50832200       41.53686756        0.11247757        0.29192503        1.53000000        1.50689215
     9.68478746       41.58605438        0.11589636        0.29024589        1.53000000        1.50534164
     9.85435558       41.63524120        0.11921810        0.28861268        1.53000000        1.50379362
    10.01773304       41.68442801        0.12245231        0.28702082        1.53000000        1.50224806
    10.17551868       41.73361483        0.12560714        0.28546641        1.53000000        1.50070497
    10.32822476       41.78280164        0.12868959        0.28394607        1.53000000        1.49916433
    10.47629316       41.83198846        0.13170574        0.28245688        1.53000000        1.49762613
    10.62010793       41.88117528        0.13466091        0.28099630        1.53000000        1.49609035
    10.76000517       41.93036209        0.13755977        0.27956206        1.53000000        1.49455698
    10.89628077       41.97954891        0.14040646        0.27815218        1.53000000        1.49302601
    11.02919676       42.02873573        0.14320467        0.27676488        1.53000000        1.49149744
    11.15898633       42.07792254        0.14595768        0.27539859        1.53000000        1.48997124
    11.28585803       42.12710936        0.14866844        0.27405188        1.53000000        1.48844742
    11.40999914       42.17629617        0.15133964        0.27272346        1.53000000        1.48692595
    11.53157857       42.22548299        0.15397366        0.27141217        1.53000000        1.48540682
    11.65074919       42.27466981        0.15657272        0.27011695        1.53000000        1.48389003
    11.76764987       42.32385662        0.15913880        0.26883685        1.53000000        1.48237556
    11.88240713       42.37304344        0.16167374        0.26757098        1.53000000        1.48086341
    11.99513661       42.42223026        0.16417919        0.26631854        1.53000000        1.47935356
    12.10594434       42.47141707        0.16665671        0.26507877        1.53000000        1.47784600
    12.21492774       42.52060389        0.16910771        0.26385100        1.53000000        1.47634072
    12.32217656       42.56979070        0.17153350        0.26263459        1.53000000        1.47483771
    12.42777370       42.61897752        0.17393530        0.26142895        1.53000000        1.47333696
    12.53179591       42.66816434        0.17631422        0.26023355        1.53000000        1.47183846
    12.63431432       42.71735115        0.17867131        0.25904786        1.53000000        1.47034220
    12.73539510       42.76653797        0.18100755        0.25787143        1.53000000        1.46884816
    12.83509984       42.81572479        0.18332385        0.25670381        1.53000000        1.46735635
    12.93348596       42.86491160        0.18562105        0.25554458        1.53000000        1.46586674
    13.03060716       42.91409842        0.18789995        0.25439336        1.53000000        1.46437934
    13.12651367       42.96328523        0.19016130        0.25324979        1.53000000        1.46289412
    13.22125259       43.01247205        0.19240579        0.25211353        1.53000000        1.46141108
    13.31486811       43.06165887        0.19463408        0.25098426        1.53000000        1.45993021
    13.40740181       43.11084568        0.19684680        0.24986167        1.53000000        1.45845150
    13.49889279       43.16003250        0.19904451        0.24874547        1.53000000        1.45697494
    13.58937792       43.20921932        0.20122779        0.24763541        1.53000000        1.45550052
    13.67889201       43.25840613        0.20339713        0.24653122        1.53000000        1.45402823
    13.76746792       43.30759295        0.20555305        0.24543267        1.53000000        1.45255807
    13.85513675       43.35677976        0.20769600        0.24433952        1.53000000        1.45109001
    13.94192793       43.40596658        0.20982643        0.24325155        1.53000000        1.44962406
    14.02786941       43.45515340        0.21194475        0.24216857        1.53000000        1.44816020
    14.11298763       43.50434021        0.21405136        0.24109037        1.53000000        1.44669843
    14.19730776       43.55352703        0.21614665        0.24001677        1.53000000        1.44523873
    14.28085372       43.60271385        0.21823096        0.23894760        1.53000000        1.44378110
