#  Theta paroi en deg Angle Choc en deg       Kp           Inverse Mach       Mach amont       Mach aval
     0.00000000       62.24607664        0.00000000        0.11504425        1.13000000
     2.02361388       62.24690926        0.01041220        0.10923822        1.13000000        1.12998584
     2.20790678       62.24807424        0.01214802        0.10826592        1.13000000        1.12996603
     2.46517239       62.25023631        0.01475408        0.10680378        1.13000000        1.12992927
     2.78775739       62.25406018        0.01831224        0.10480284        1.13000000        1.12986426
     3.14914352       62.26021059        0.02266685        0.10234667        1.13000000        1.12975971
     3.52878278       62.26935225        0.02764403        0.09952934        1.13000000        1.12960436
     3.91499970       62.28214989        0.03311494        0.09642009        1.13000000        1.12938697
     4.30185093       62.29926824        0.03899306        0.09306468        1.13000000        1.12909634
     4.68647431       62.32137201        0.04522093        0.08949275        1.13000000        1.12872134
     5.06758592       62.34912593        0.05175983        0.08572348        1.13000000        1.12825091
     5.38037278       62.37687986        0.05739467        0.08245954        1.13000000        1.12778096
     5.64828934       62.40463378        0.06241058        0.07954162        1.13000000        1.12731148
     5.88417037       62.43238770        0.06696990        0.07687900        1.13000000        1.12684248
     6.09587360       62.46014163        0.07117519        0.07441433        1.13000000        1.12637396
     6.28859064       62.48789555        0.07509601        0.07210868        1.13000000        1.12590591
     6.46594682       62.51564947        0.07878205        0.06993427        1.13000000        1.12543834
     6.63058272       62.54340340        0.08227023        0.06787042        1.13000000        1.12497124
     6.78448660       62.57115732        0.08558883        0.06590131        1.13000000        1.12450462
     6.92919625       62.59891124        0.08876007        0.06401450        1.13000000        1.12403847
     7.06592777       62.62666517        0.09180179        0.06219999        1.13000000        1.12357280
     7.19566091       62.65441909        0.09472854        0.06044964        1.13000000        1.12310760
     7.31919768       62.68217301        0.09755238        0.05875668        1.13000000        1.12264288
     7.43720364       62.70992694        0.10028342        0.05711546        1.13000000        1.12217863
     7.55023770       62.73768086        0.10293027        0.05552116        1.13000000        1.12171485
     7.65877423       62.76543478        0.10550027        0.05396965        1.13000000        1.12125155
     7.76321956       62.79318871        0.10799979        0.05245737        1.13000000        1.12078872
     7.86392471       62.82094263        0.11043437        0.05098122        1.13000000        1.12032636
     7.96119511       62.84869655        0.11280888        0.04953846        1.13000000        1.11986448
     8.05529831       62.87645048        0.11512762        0.04812669        1.13000000        1.11940307
     8.14647022       62.90420440        0.11739439        0.04674377        1.13000000        1.11894213
     8.23491989       62.93195832        0.11961260        0.04538780        1.13000000        1.11848166
     8.32083363       62.95971225        0.12178530        0.04405706        1.13000000        1.11802166
     8.40437814       62.98746617        0.12391524        0.04275001        1.13000000        1.11756214
     8.48570334       63.01522009        0.12600492        0.04146526        1.13000000        1.11710309
     8.56494448       63.04297402        0.12805658        0.04020154        1.13000000        1.11664450
     8.64222417       63.07072794        0.13007229        0.03895770        1.13000000        1.11618639
     8.71765377       63.09848186        0.13205393        0.03773268        1.13000000        1.11572875
     8.79133494       63.12623579        0.13400322        0.03652552        1.13000000        1.11527158
     8.86336060       63.15398971        0.13592175        0.03533533        1.13000000        1.11481488
     8.93381601       63.18174363        0.13781097        0.03416129        1.13000000        1.11435865
     9.00277960       63.20949756        0.13967224        0.03300265        1.13000000        1.11390289
     9.07032366       63.23725148        0.14150680        0.03185870        1.13000000        1.11344760
     9.13651502       63.26500540        0.14331583        0.03072880        1.13000000        1.11299277
     9.20141556       63.29275933        0.14510039        0.02961233        1.13000000        1.11253842
     9.26508274       63.32051325        0.14686149        0.02850874        1.13000000        1.11208454
     9.32756996       63.34826717        0.14860008        0.02741750        1.13000000        1.11163112
     9.38892701       63.37602110        0.15031702        0.02633812        1.13000000        1.11117817
     9.44920037       63.40377502        0.15201316        0.02527013        1.13000000        1.11072569
     9.50843345       63.43152894        0.15368924        0.02421311        1.13000000        1.11027368
     9.56666698       63.45928287        0.15534602        0.02316664        1.13000000        1.10982213
     9.62393907       63.48703679        0.15698415        0.02213035        1.13000000        1.10937106
     9.68028560       63.51479071        0.15860430        0.02110387        1.13000000        1.10892045
     9.73574026       63.54254464        0.16020707        0.02008686        1.13000000        1.10847030
     9.79033482       63.57029856        0.16179303        0.01907901        1.13000000        1.10802063
     9.84409924       63.59805248        0.16336272        0.01808000        1.13000000        1.10757142
     9.89706180       63.62580641        0.16491667        0.01708956        1.13000000        1.10712268
     9.94924921       63.65356033        0.16645535        0.01610740        1.13000000        1.10667440
    10.00068680       63.68131425        0.16797923        0.01513328        1.13000000        1.10622659
    10.05139853       63.70906818        0.16948876        0.01416693        1.13000000        1.10577925
    10.10140715       63.73682210        0.17098434        0.01320813        1.13000000        1.10533237
    10.15073423       63.76457602        0.17246638        0.01225666        1.13000000        1.10488595
    10.19940030       63.79232995        0.17393526        0.01131231        1.13000000        1.10444000
    10.24742488       63.82008387        0.17539133        0.01037487        1.13000000        1.10399452
    10.29482653       63.84783779        0.17683495        0.00944414        1.13000000        1.10354950
    10.34162297       63.87559172        0.17826645        0.00851995        1.13000000        1.10310495
    10.38783110       63.90334564        0.17968613        0.00760212        1.13000000        1.10266086
    10.43346699       63.93109957        0.18109431        0.00669048        1.13000000        1.10221723
    10.47854607       63.95885349        0.18249127        0.00578486        1.13000000        1.10177407
    10.52308303       63.98660741        0.18387728        0.00488512        1.13000000        1.10133138
    10.56709196       64.01436134        0.18525262        0.00399111        1.13000000        1.10088914
    10.61058634       64.04211526        0.18661753        0.00310268        1.13000000        1.10044737
    10.65357906       64.06986918        0.18797227        0.00221970        1.13000000        1.10000607
    10.69608250       64.09762311        0.18931706        0.00134204        1.13000000        1.09956522
    10.73810853       64.12537703        0.19065213        0.00046957        1.13000000        1.09912484
    10.77966854       64.15313095        0.19197770       -0.00039783        1.13000000        1.09868493
    10.82077346       64.18088488        0.19329398       -0.00126028        1.13000000        1.09824547
    10.86143382       64.20863880        0.19460117       -0.00211788        1.13000000        1.09780648
    10.90165971       64.23639272        0.19589946       -0.00297075        1.13000000        1.09736795
    10.94146086       64.26414665        0.19718904       -0.00381899        1.13000000        1.09692988
    10.98084662       64.29190057        0.19847008       -0.00466270        1.13000000        1.09649228
    11.01982602       64.31965449        0.19974277       -0.00550197        1.13000000        1.09605513
    11.05840772       64.34740842        0.20100727       -0.00633690        1.13000000        1.09561845
    11.09660011       64.37516234        0.20226374       -0.00716758        1.13000000        1.09518223
    11.13441125       64.40291626        0.20351233       -0.00799409        1.13000000        1.09474647
    11.17184893       64.43067019        0.20475321       -0.00881653        1.13000000        1.09431117
    11.20892067       64.45842411        0.20598651       -0.00963496        1.13000000        1.09387633
    11.24563374       64.48617803        0.20721237       -0.01044947        1.13000000        1.09344196
    11.28199514       64.51393196        0.20843094       -0.01126014        1.13000000        1.09300804
    11.31801168       64.54168588        0.20964234       -0.01206703        1.13000000        1.09257458
    11.35368989       64.56943980        0.21084671       -0.01287023        1.13000000        1.09214159
    11.38903612       64.59719373        0.21204416       -0.01366979        1.13000000        1.09170905
    11.42405652       64.62494765        0.21323482       -0.01446578        1.13000000        1.09127698
    11.45875703       64.65270157        0.21441880       -0.01525828        1.13000000        1.09084536
    11.49314341       64.68045550        0.21559622       -0.01604733        1.13000000        1.09041421
    11.52722122       64.70820942        0.21676719       -0.01683301        1.13000000        1.08998351
    11.56099588       64.73596334        0.21793181       -0.01761536        1.13000000        1.08955327
    11.59447264       64.76371727        0.21909019       -0.01839446        1.13000000        1.08912350
    11.62765657       64.79147119        0.22024242       -0.01917034        1.13000000        1.08869418
    11.66055260       64.81922511        0.22138861       -0.01994308        1.13000000        1.08826532
    11.69316551       64.84697904        0.22252885       -0.02071271        1.13000000        1.08783692
    11.72549997       64.87473296        0.22366323       -0.02147929        1.13000000        1.08740897
    11.75756046       64.90248688        0.22479184       -0.02224288        1.13000000        1.08698149
    11.78935139       64.93024081        0.22591477       -0.02300351        1.13000000        1.08655447
    11.82087701       64.95799473        0.22703210       -0.02376123        1.13000000        1.08612790
    11.85214146       64.98574865        0.22814392       -0.02451609        1.13000000        1.08570179
    11.88314876       65.01350258        0.22925030       -0.02526814        1.13000000        1.08527614
    11.91390282       65.04125650        0.23035133       -0.02601741        1.13000000        1.08485094
    11.94440746       65.06901042        0.23144708       -0.02676395        1.13000000        1.08442621
    11.97466636       65.09676435        0.23253762       -0.02750779        1.13000000        1.08400193
    12.00468316       65.12451827        0.23362302       -0.02824899        1.13000000        1.08357811
    12.03446136       65.15227219        0.23470337       -0.02898757        1.13000000        1.08315474
    12.06400436       65.18002612        0.23577872       -0.02972358        1.13000000        1.08273184
    12.09331552       65.20778004        0.23684914       -0.03045705        1.13000000        1.08230939
    12.12239804       65.23553396        0.23791470       -0.03118801        1.13000000        1.08188739
    12.15125513       65.26328789        0.23897545       -0.03191650        1.13000000        1.08146586
    12.17988984       65.29104181        0.24003148       -0.03264256        1.13000000        1.08104478
    12.20830520       65.31879573        0.24108282       -0.03336622        1.13000000        1.08062416
    12.23650410       65.34654966        0.24212955       -0.03408751        1.13000000        1.08020399
    12.26448944       65.37430358        0.24317172       -0.03480646        1.13000000        1.07978428
    12.29226399       65.40205750        0.24420938       -0.03552310        1.13000000        1.07936502
    12.31983046       65.42981143        0.24524260       -0.03623746        1.13000000        1.07894622
    12.34719154       65.45756535        0.24627143       -0.03694958        1.13000000        1.07852788
    12.37434977       65.48531927        0.24729591       -0.03765947        1.13000000        1.07810999
    12.40130773       65.51307320        0.24831610       -0.03836717        1.13000000        1.07769256
    12.42806787       65.54082712        0.24933205       -0.03907271        1.13000000        1.07727559
    12.45463260       65.56858104        0.25034381       -0.03977611        1.13000000        1.07685906
    12.48100429       65.59633497        0.25135142       -0.04047740        1.13000000        1.07644300
    12.50718524       65.62408889        0.25235494       -0.04117659        1.13000000        1.07602739
    12.53317771       65.65184281        0.25335441       -0.04187373        1.13000000        1.07561223
    12.55898389       65.67959674        0.25434987       -0.04256883        1.13000000        1.07519753
    12.58460594       65.70735066        0.25534138       -0.04326191        1.13000000        1.07478328
    12.61004597       65.73510458        0.25632896       -0.04395300        1.13000000        1.07436949
    12.63530604       65.76285851        0.25731266       -0.04464212        1.13000000        1.07395616
    12.66038815       65.79061243        0.25829254       -0.04532930        1.13000000        1.07354327
    12.68529427       65.81836635        0.25926861       -0.04601455        1.13000000        1.07313084
    12.71002635       65.84612028        0.26024093       -0.04669789        1.13000000        1.07271887
    12.73458628       65.87387420        0.26120953       -0.04737935        1.13000000        1.07230735
    12.75897588       65.90162812        0.26217446       -0.04805895        1.13000000        1.07189628
    12.78319697       65.92938205        0.26313574       -0.04873670        1.13000000        1.07148567
    12.80725132       65.95713597        0.26409341       -0.04941263        1.13000000        1.07107551
    12.83114068       65.98488989        0.26504751       -0.05008675        1.13000000        1.07066581
    12.85486673       66.01264382        0.26599808       -0.05075909        1.13000000        1.07025656
    12.87843114       66.04039774        0.26694515       -0.05142966        1.13000000        1.06984776
    12.90183554       66.06815166        0.26788875       -0.05209847        1.13000000        1.06943942
    12.92508153       66.09590559        0.26882891       -0.05276556        1.13000000        1.06903152
    12.94817068       66.12365951        0.26976568       -0.05343092        1.13000000        1.06862409
    12.97110451       66.15141343        0.27069907       -0.05409459        1.13000000        1.06821710
    12.99388453       66.17916736        0.27162912       -0.05475657        1.13000000        1.06781057
    13.01651222       66.20692128        0.27255586       -0.05541689        1.13000000        1.06740449
    13.03898903       66.23467520        0.27347932       -0.05607555        1.13000000        1.06699886
    13.06131635       66.26242913        0.27439953       -0.05673258        1.13000000        1.06659369
    13.08349561       66.29018305        0.27531651       -0.05738798        1.13000000        1.06618897
    13.10552815       66.31793697        0.27623031       -0.05804178        1.13000000        1.06578470
