#  Theta paroi en deg Angle Choc en deg       Kp           Inverse Mach       Mach amont       Mach aval
     0.00000000       73.12449932        0.00000000        0.04306220        1.04500000
     1.81110330       73.12500559        0.00963455        0.03742254        1.04500000        1.04499479
     1.85990651       73.12571394        0.01010949        0.03714333        1.04500000        1.04498750
     1.94577430       73.12702856        0.01096901        0.03663774        1.04500000        1.04497398
     2.07884758       73.12935363        0.01236051        0.03581844        1.04500000        1.04495006
     2.25411044       73.13309333        0.01430176        0.03467381        1.04500000        1.04491160
     2.45923039       73.13865182        0.01672765        0.03324073        1.04500000        1.04485445
     2.68260453       73.14643330        0.01955468        0.03156688        1.04500000        1.04477448
     2.91604009       73.15684195        0.02271177        0.02969274        1.04500000        1.04466755
     3.15438279       73.17028193        0.02614565        0.02764842        1.04500000        1.04452959
     3.39452597       73.18715743        0.02981779        0.02545545        1.04500000        1.04435652
     3.59353472       73.20403293        0.03302093        0.02353676        1.04500000        1.04418361
     3.76488433       73.22090843        0.03589442        0.02181091        1.04500000        1.04401088
     3.91617949       73.23778393        0.03852022        0.02022996        1.04500000        1.04383831
     4.05217165       73.25465943        0.04095128        0.01876297        1.04500000        1.04366592
     4.17604637       73.27153493        0.04322413        0.01738855        1.04500000        1.04349370
     4.29005293       73.28841043        0.04536519        0.01609127        1.04500000        1.04332165
     4.39584405       73.30528593        0.04739430        0.01485951        1.04500000        1.04314976
     4.49467297       73.32216144        0.04932681        0.01368430        1.04500000        1.04297805
     4.58751479       73.33903694        0.05117484        0.01255853        1.04500000        1.04280651
     4.67514446       73.35591244        0.05294822        0.01147647        1.04500000        1.04263515
     4.75818906       73.37278794        0.05465499        0.01043340        1.04500000        1.04246395
     4.83716381       73.38966344        0.05630185        0.00942541        1.04500000        1.04229292
     4.91249769       73.40653894        0.05789446        0.00844917        1.04500000        1.04212206
     4.98455209       73.42341444        0.05943765        0.00750188        1.04500000        1.04195138
     5.05363448       73.44028994        0.06093555        0.00658110        1.04500000        1.04178086
     5.12000887       73.45716544        0.06239177        0.00568473        1.04500000        1.04161052
     5.18390387       73.47404094        0.06380945        0.00481093        1.04500000        1.04144034
     5.24551878       73.49091644        0.06519136        0.00395808        1.04500000        1.04127034
     5.30502853       73.50779194        0.06653995        0.00312473        1.04500000        1.04110051
     5.36258760       73.52466744        0.06785741        0.00230962        1.04500000        1.04093085
