#  Theta paroi en deg Angle Choc en deg       Kp           Inverse Mach       Mach amont       Mach aval
     0.00000000       32.52274753        0.00000000        0.46236559        1.86000000
     2.06034841       32.52447184        0.00802567        0.45872365        1.86000000        1.85992845
     2.46252528       32.52688447        0.01085319        0.45744439        1.86000000        1.85982834
     2.90531696       32.53136202        0.01432863        0.45587463        1.86000000        1.85964258
     3.38795276       32.53928111        0.01851686        0.45398670        1.86000000        1.85931414
     3.88832022       32.55201835        0.02326882        0.45184949        1.86000000        1.85878610
     4.39295416       32.57095036        0.02845734        0.44952158        1.86000000        1.85800178
     4.89607533       32.59745376        0.03400442        0.44703909        1.86000000        1.85690488
     5.39599568       32.63290516        0.03986848        0.44442148        1.86000000        1.85543961
     5.89296533       32.67868118        0.04603156        0.44167752        1.86000000        1.85355091
     6.38810851       32.73615844        0.05249093        0.43880910        1.86000000        1.85118466
     6.79808563       32.79363569        0.05807306        0.43633605        1.86000000        1.84882420
     7.15273458       32.85111294        0.06306870        0.43412719        1.86000000        1.84646948
     7.46818684       32.90859019        0.06763991        0.43210943        1.86000000        1.84412046
     7.75423409       32.96606744        0.07188745        0.43023734        1.86000000        1.84177709
     8.01730337       33.02354470        0.07587875        0.42848054        1.86000000        1.83943932
     8.26185908       33.08102195        0.07966145        0.42681757        1.86000000        1.83710710
     8.49113877       33.13849920        0.08327057        0.42523267        1.86000000        1.83478040
     8.70757102       33.19597645        0.08673269        0.42371384        1.86000000        1.83245916
     8.91302814       33.25345371        0.09006857        0.42225176        1.86000000        1.83014335
     9.10898644       33.31093096        0.09329469        0.42083900        1.86000000        1.82783292
     9.29663233       33.36840821        0.09642444        0.41946952        1.86000000        1.82552782
     9.47693466       33.42588546        0.09946883        0.41813837        1.86000000        1.82322801
     9.65069574       33.48336272        0.10243705        0.41684141        1.86000000        1.82093346
     9.81858803       33.54083997        0.10533684        0.41557514        1.86000000        1.81864411
     9.98118120       33.59831722        0.10817481        0.41433660        1.86000000        1.81635993
    10.13896241       33.65579447        0.11095663        0.41312322        1.86000000        1.81408088
    10.29235179       33.71327173        0.11368723        0.41193278        1.86000000        1.81180692
    10.44171438       33.77074898        0.11637089        0.41076334        1.86000000        1.80953799
    10.58736956       33.82822623        0.11901141        0.40961320        1.86000000        1.80727408
    10.72959845       33.88570348        0.12161210        0.40848084        1.86000000        1.80501513
    10.86864993       33.94318074        0.12417594        0.40736494        1.86000000        1.80276111
    11.00474543       34.00065799        0.12670556        0.40626428        1.86000000        1.80051198
    11.13808298       34.05813524        0.12920336        0.40517781        1.86000000        1.79826771
    11.26884035       34.11561249        0.13167145        0.40410454        1.86000000        1.79602824
    11.39717782       34.17308975        0.13411177        0.40304360        1.86000000        1.79379356
