#  Theta paroi en °  Inverse Mach Paroi  Mach amont
     1.55217211        0.00488889        1.01000000
     1.55432381        0.00487583        1.01000000
     1.56105105        0.00483492        1.01000000
     1.57546843        0.00474671        1.01000000
     1.59992789        0.00459547        1.01000000
     1.63611115        0.00436803        1.01000000
     1.68479539        0.00405506        1.01000000
     1.74558089        0.00365308        1.01000000
     1.81710741        0.00316411        1.01000000
     1.89752769        0.00259370        1.01000000
     1.96953386        0.00206437        1.01000000
     2.03481218        0.00156924        1.01000000
     2.09460894        0.00110291        1.01000000
     2.14985524        0.00066115        1.01000000
     2.20126110        0.00024062        1.01000000
     2.24937876       -0.00016133        1.01000000
     2.29464616       -0.00054687        1.01000000
     2.33741634       -0.00091776        1.01000000
     2.37797828       -0.00127548        1.01000000
     2.41657153       -0.00162129        1.01000000
     2.45339708       -0.00195625        1.01000000
     2.48862537       -0.00228125        1.01000000
     2.52240210       -0.00259711        1.01000000
     2.55485302       -0.00290451        1.01000000
     2.58608743       -0.00320405        1.01000000
     2.61620095       -0.00349627        1.01000000
     2.64527780       -0.00378165        1.01000000
     2.67339254       -0.00406062        1.01000000
     2.70061155       -0.00433357        1.01000000
     2.72699415       -0.00460083        1.01000000
     2.75259375       -0.00486272        1.01000000
     2.77745834       -0.00511952        1.01000000
     2.80163151       -0.00537151        1.01000000
     2.82515277       -0.00561891        1.01000000
     2.84805822       -0.00586194        1.01000000
     2.87038075       -0.00610081        1.01000000
     2.89215069       -0.00633570        1.01000000
     2.91339571       -0.00656679        1.01000000
     2.93414148       -0.00679423        1.01000000
     2.95441163       -0.00701817        1.01000000
     2.97422809       -0.00723875        1.01000000
     2.99361117       -0.00745610        1.01000000
     3.01257978       -0.00767034        1.01000000
     3.03115150       -0.00788159        1.01000000
     3.04934283       -0.00808994        1.01000000
     3.06716904       -0.00829550        1.01000000
     3.08464463       -0.00849837        1.01000000
     3.10178299       -0.00869863        1.01000000
     3.11859682       -0.00889636        1.01000000
     3.13509807       -0.00909165        1.01000000
     3.15129792       -0.00928456        1.01000000
     3.16720701       -0.00947518        1.01000000
     3.18283529       -0.00966356        1.01000000
     3.19819226       -0.00984978        1.01000000
     3.21328682       -0.01003388        1.01000000
     3.22812747       -0.01021594        1.01000000
     3.24272224       -0.01039599        1.01000000
     3.25707877       -0.01057411        1.01000000
     3.27120435       -0.01075033        1.01000000
     3.28510582       -0.01092470        1.01000000
     3.29878984       -0.01109728        1.01000000
     3.31226255       -0.01126809        1.01000000
     3.32553006       -0.01143720        1.01000000
     3.33859799       -0.01160463        1.01000000
     3.35147179       -0.01177042        1.01000000
     3.36415675       -0.01193461        1.01000000
     3.37665773       -0.01209724        1.01000000
     3.38897962       -0.01225834        1.01000000
     3.40112693       -0.01241794        1.01000000
     3.41310405       -0.01257607        1.01000000
     3.42491518       -0.01273277        1.01000000
     3.43656443       -0.01288807        1.01000000
     3.44805556       -0.01304198        1.01000000
     3.45939243       -0.01319455        1.01000000
     3.47057854       -0.01334579        1.01000000
     3.48161735       -0.01349573        1.01000000
     3.49251219       -0.01364439        1.01000000
     3.50326627       -0.01379180        1.01000000
     3.51388271       -0.01393799        1.01000000
     3.52436440       -0.01408296        1.01000000
     3.53471428       -0.01422675        1.01000000
     3.54493511       -0.01436938        1.01000000
     3.55502954       -0.01451086        1.01000000
     3.56500016       -0.01465121        1.01000000
     3.57484946       -0.01479046        1.01000000
     3.58457992       -0.01492861        1.01000000
     3.59419379       -0.01506570        1.01000000
     3.60369338       -0.01520173        1.01000000
     3.61308084       -0.01533673        1.01000000
     3.62235835       -0.01547070        1.01000000
     3.63152792       -0.01560367        1.01000000
     3.64059155       -0.01573565        1.01000000
     3.64955115       -0.01586665        1.01000000
     3.65840862       -0.01599669        1.01000000
     3.66716580       -0.01612578        1.01000000
     3.67582439       -0.01625394        1.01000000
     3.68438614       -0.01638117        1.01000000
     3.69285268       -0.01650750        1.01000000
     3.70122569       -0.01663294        1.01000000
     3.70950668       -0.01675749        1.01000000
     3.71769718       -0.01688117        1.01000000
     3.72579870       -0.01700399        1.01000000
     3.73381266       -0.01712597        1.01000000
     3.74174048       -0.01724710        1.01000000
     3.74958352       -0.01736741        1.01000000
     3.75734307       -0.01748691        1.01000000
     3.76502052       -0.01760559        1.01000000
     3.77261704       -0.01772349        1.01000000
     3.78013391       -0.01784059        1.01000000
     3.78757228       -0.01795693        1.01000000
     3.79493339       -0.01807249        1.01000000
     3.80221832       -0.01818730        1.01000000
     3.80942818       -0.01830135        1.01000000
     3.81656408       -0.01841467        1.01000000
     3.82362705       -0.01852725        1.01000000
     3.83061815       -0.01863912        1.01000000
     3.83753836       -0.01875026        1.01000000
     3.84438866       -0.01886070        1.01000000
     3.85117002       -0.01897044        1.01000000
     3.85788341       -0.01907949        1.01000000
     3.86452968       -0.01918785        1.01000000
     3.87110978       -0.01929554        1.01000000
     3.87762453       -0.01940255        1.01000000
     3.88407484       -0.01950891        1.01000000
     3.89046150       -0.01961460        1.01000000
     3.89678534       -0.01971965        1.01000000
     3.90304720       -0.01982406        1.01000000
     3.90924780       -0.01992782        1.01000000
     3.91538793       -0.02003096        1.01000000
     3.92146834       -0.02013347        1.01000000
     3.92748976       -0.02023537        1.01000000
     3.93345289       -0.02033665        1.01000000
     3.93935845       -0.02043733        1.01000000
     3.94520712       -0.02053741        1.01000000
     3.95099961       -0.02063689        1.01000000
     3.95673652       -0.02073578        1.01000000
     3.96241851       -0.02083409        1.01000000
     3.96804626       -0.02093182        1.01000000
     3.97362030       -0.02102898        1.01000000
     3.97914136       -0.02112557        1.01000000
     3.98460991       -0.02122160        1.01000000
     3.99002662       -0.02131706        1.01000000
     3.99539204       -0.02141198        1.01000000
     4.00070670       -0.02150634        1.01000000
     4.00597117       -0.02160016        1.01000000
     4.01118602       -0.02169345        1.01000000
     4.01635176       -0.02178619        1.01000000
     4.02146890       -0.02187841        1.01000000
     4.02653796       -0.02197010        1.01000000
     4.03155943       -0.02206127        1.01000000
     4.03653380       -0.02215192        1.01000000
     4.04146158       -0.02224206        1.01000000
     4.04634324       -0.02233169        1.01000000
     4.05117923       -0.02242081        1.01000000
     4.05596999       -0.02250944        1.01000000
     4.06071598       -0.02259756        1.01000000
     4.06541770       -0.02268519        1.01000000
     4.07007549       -0.02277233        1.01000000
     4.07468984       -0.02285899        1.01000000
     4.07926114       -0.02294516        1.01000000
     4.08378982       -0.02303085        1.01000000
     4.08827625       -0.02311607        1.01000000
     4.09272089       -0.02320082        1.01000000
     4.09712406       -0.02328509        1.01000000
     4.10148618       -0.02336891        1.01000000
     4.10580765       -0.02345226        1.01000000
     4.11008881       -0.02353515        1.01000000
     4.11433001       -0.02361758        1.01000000
     4.11853163       -0.02369957        1.01000000
     4.12269403       -0.02378110        1.01000000
     4.12681755       -0.02386219        1.01000000
     4.13090254       -0.02394284        1.01000000
     4.13494933       -0.02402304        1.01000000
     4.13895826       -0.02410281        1.01000000
     4.14292965       -0.02418214        1.01000000
     4.14686382       -0.02426104        1.01000000
     4.15076108       -0.02433952        1.01000000
     4.15462174       -0.02441757        1.01000000
     4.15844610       -0.02449519        1.01000000
     4.16223450       -0.02457239        1.01000000
     4.16598721       -0.02464918        1.01000000
     4.16970449       -0.02472555        1.01000000
     4.17338669       -0.02480151        1.01000000
     4.17703406       -0.02487706        1.01000000
     4.18064687       -0.02495220        1.01000000
     4.18422543       -0.02502694        1.01000000
     4.18776997       -0.02510127        1.01000000
     4.19128080       -0.02517520        1.01000000
     4.19475814       -0.02524874        1.01000000
     4.19820226       -0.02532188        1.01000000
     4.20161347       -0.02539463        1.01000000
     4.20499194       -0.02546698        1.01000000
     4.20833794       -0.02553895        1.01000000
     4.21165178       -0.02561053        1.01000000
     4.21493363       -0.02568173        1.01000000
     4.21818375       -0.02575254        1.01000000
     4.22140236       -0.02582298        1.01000000
     4.22458970       -0.02589303        1.01000000
     4.22774601       -0.02596272        1.01000000
     4.23087152       -0.02603202        1.01000000
     4.23396644       -0.02610096        1.01000000
     4.23703098       -0.02616953        1.01000000
     4.24006536       -0.02623773        1.01000000
     4.24306981       -0.02630556        1.01000000
     4.24604453       -0.02637303        1.01000000
     4.24898972       -0.02644014        1.01000000
     4.25190559       -0.02650689        1.01000000
     4.25479233       -0.02657328        1.01000000
     4.25765014       -0.02663931        1.01000000
     4.26047921       -0.02670499        1.01000000
     4.26327979       -0.02677032        1.01000000
     4.26605202       -0.02683529        1.01000000
     4.26879606       -0.02689992        1.01000000
     4.27151218       -0.02696420        1.01000000
     4.27420050       -0.02702814        1.01000000
     4.27686120       -0.02709173        1.01000000
     4.27949452       -0.02715498        1.01000000
     4.28210054       -0.02721788        1.01000000
     4.28467954       -0.02728045        1.01000000
     4.28723160       -0.02734268        1.01000000
     4.28975697       -0.02740458        1.01000000
     4.29225575       -0.02746614        1.01000000
     4.29472816       -0.02752737        1.01000000
     4.29717432       -0.02758827        1.01000000
     4.29959440       -0.02764884        1.01000000
     4.30198860       -0.02770908        1.01000000
     4.30435704       -0.02776899        1.01000000
     4.30669986       -0.02782858        1.01000000
     4.30901726       -0.02788785        1.01000000
     4.31130938       -0.02794679        1.01000000
     4.31357635       -0.02800541        1.01000000
     4.31581832       -0.02806372        1.01000000
     4.31803544       -0.02812170        1.01000000
     4.32022786       -0.02817937        1.01000000
     4.32239575       -0.02823672        1.01000000
     4.32453922       -0.02829376        1.01000000
     4.32665840       -0.02835049        1.01000000
     4.32875345       -0.02840691        1.01000000
     4.33082450       -0.02846302        1.01000000
     4.33287168       -0.02851881        1.01000000
     4.33489513       -0.02857431        1.01000000
