#  Theta paroi en °  Inverse Mach Paroi  Mach amont
     0.41476585        0.94953421       20.00000000
     0.50405780        0.94936533       20.00000000
     0.60024462        0.94916631       20.00000000
     0.70642417        0.94892893       20.00000000
     0.82071077        0.94865554       20.00000000
     0.94266813        0.94834610       20.00000000
     1.07315043        0.94799738       20.00000000
     1.21366520        0.94760384       20.00000000
     1.36600260        0.94715827       20.00000000
     1.53205375        0.94665200       20.00000000
     1.68140127        0.94617932       20.00000000
     1.81985400        0.94572689       20.00000000
     1.95054766        0.94528739       20.00000000
     2.07538499        0.94485634       20.00000000
     2.19561618        0.94443077       20.00000000
     2.31211138        0.94400861       20.00000000
     2.42550355        0.94358836       20.00000000
     2.53626939        0.94316888       20.00000000
     2.64477795        0.94274933       20.00000000
     2.75132199        0.94232904       20.00000000
     2.85613789        0.94190747       20.00000000
     2.95942008        0.94148420       20.00000000
     3.06133042        0.94105890       20.00000000
     3.16200563        0.94063129       20.00000000
     3.26156212        0.94020115       20.00000000
     3.36010030        0.93976831       20.00000000
     3.45770710        0.93933262       20.00000000
     3.55445877        0.93889397       20.00000000
     3.65042226        0.93845226       20.00000000
     3.74565695        0.93800743       20.00000000
     3.84021568        0.93755943       20.00000000
     3.93414580        0.93710820       20.00000000
     4.02748976        0.93665373       20.00000000
     4.12028599        0.93619599       20.00000000
     4.21256917        0.93573497       20.00000000
     4.30437095        0.93527068       20.00000000
     4.39572012        0.93480312       20.00000000
     4.48664304        0.93433229       20.00000000
     4.57716385        0.93385821       20.00000000
     4.66730481        0.93338091       20.00000000
     4.75708639        0.93290040       20.00000000
     4.84652748        0.93241670       20.00000000
     4.93564562        0.93192985       20.00000000
     5.02445703        0.93143987       20.00000000
     5.11297681        0.93094680       20.00000000
     5.20121900        0.93045066       20.00000000
     5.28919671        0.92995149       20.00000000
     5.37692214        0.92944933       20.00000000
     5.46440674        0.92894421       20.00000000
     5.55166120        0.92843617       20.00000000
     5.63869558        0.92792524       20.00000000
     5.72551930        0.92741145       20.00000000
     5.81214120        0.92689486       20.00000000
     5.89856964        0.92637549       20.00000000
     5.98481247        0.92585338       20.00000000
     6.07087710        0.92532857       20.00000000
     6.15677050        0.92480109       20.00000000
     6.24249933        0.92427098       20.00000000
     6.32806978        0.92373828       20.00000000
     6.41348783        0.92320302       20.00000000
     6.49875905        0.92266525       20.00000000
     6.58388875        0.92212498       20.00000000
     6.66888200        0.92158227       20.00000000
     6.75374357        0.92103714       20.00000000
     6.83847806        0.92048962       20.00000000
     6.92308974        0.91993976       20.00000000
     7.00758279        0.91938758       20.00000000
     7.09196111        0.91883311       20.00000000
     7.17622844        0.91827639       20.00000000
     7.26038837        0.91771745       20.00000000
     7.34444430        0.91715632       20.00000000
     7.42839949        0.91659303       20.00000000
     7.51225702        0.91602761       20.00000000
     7.59601988        0.91546008       20.00000000
     7.67969093        0.91489049       20.00000000
     7.76327284        0.91431884       20.00000000
     7.84676826        0.91374518       20.00000000
     7.93017967        0.91316952       20.00000000
     8.01350943        0.91259190       20.00000000
     8.09675986        0.91201234       20.00000000
     8.17993315        0.91143086       20.00000000
     8.26303141        0.91084749       20.00000000
     8.34605666        0.91026226       20.00000000
     8.42901084        0.90967518       20.00000000
     8.51189581        0.90908629       20.00000000
     8.59471336        0.90849559       20.00000000
     8.67746526        0.90790312       20.00000000
     8.76015311        0.90730890       20.00000000
     8.84277854        0.90671294       20.00000000
     8.92534308        0.90611527       20.00000000
     9.00784821        0.90551591       20.00000000
     9.09029534        0.90491487       20.00000000
     9.17268586        0.90431218       20.00000000
     9.25502110        0.90370785       20.00000000
     9.33730232        0.90310191       20.00000000
     9.41953075        0.90249437       20.00000000
     9.50170757        0.90188524       20.00000000
     9.58383395        0.90127455       20.00000000
     9.66591097        0.90066231       20.00000000
     9.74793971        0.90004854       20.00000000
     9.82992120        0.89943325       20.00000000
     9.91185642        0.89881646       20.00000000
     9.99374636        0.89819818       20.00000000
    10.07559194        0.89757843       20.00000000
    10.15739403        0.89695722       20.00000000
    10.23915353        0.89633456       20.00000000
    10.32087128        0.89571048       20.00000000
    10.40254806        0.89508497       20.00000000
    10.48418470        0.89445806       20.00000000
    10.56578193        0.89382976       20.00000000
    10.64734050        0.89320008       20.00000000
    10.72886112        0.89256903       20.00000000
    10.81034447        0.89193662       20.00000000
    10.89179125        0.89130286       20.00000000
    10.97320207        0.89066777       20.00000000
    11.05457757        0.89003136       20.00000000
    11.13591836        0.88939363       20.00000000
    11.21722504        0.88875459       20.00000000
    11.29849817        0.88811426       20.00000000
    11.37973830        0.88747264       20.00000000
    11.46094598        0.88682975       20.00000000
    11.54212171        0.88618559       20.00000000
    11.62326601        0.88554017       20.00000000
    11.70437937        0.88489350       20.00000000
    11.78546227        0.88424559       20.00000000
    11.86651515        0.88359645       20.00000000
    11.94753848        0.88294607       20.00000000
    12.02853268        0.88229448       20.00000000
    12.10949817        0.88164168       20.00000000
    12.19043538        0.88098767       20.00000000
    12.27134469        0.88033246       20.00000000
    12.35222648        0.87967607       20.00000000
    12.43308113        0.87901848       20.00000000
    12.51390902        0.87835972       20.00000000
    12.59471049        0.87769979       20.00000000
    12.67548587        0.87703868       20.00000000
    12.75623551        0.87637642       20.00000000
    12.83695973        0.87571300       20.00000000
    12.91765884        0.87504843       20.00000000
    12.99833316        0.87438271       20.00000000
    13.07898296        0.87371586       20.00000000
    13.15960855        0.87304786       20.00000000
    13.24021020        0.87237874       20.00000000
    13.32078820        0.87170848       20.00000000
    13.40134279        0.87103711       20.00000000
    13.48187424        0.87036461       20.00000000
    13.56238280        0.86969100       20.00000000
    13.64286870        0.86901628       20.00000000
    13.72333220        0.86834045       20.00000000
    13.80377351        0.86766351       20.00000000
    13.88419285        0.86698548       20.00000000
    13.96459045        0.86630634       20.00000000
    14.04496652        0.86562611       20.00000000
    14.12532126        0.86494479       20.00000000
    14.20565487        0.86426238       20.00000000
    14.28596753        0.86357888       20.00000000
    14.36625944        0.86289430       20.00000000
    14.44653079        0.86220863       20.00000000
    14.52678175        0.86152189       20.00000000
    14.60701249        0.86083407       20.00000000
    14.68722317        0.86014517       20.00000000
    14.76741397        0.85945519       20.00000000
    14.84758503        0.85876415       20.00000000
    14.92773651        0.85807203       20.00000000
    15.00786857        0.85737885       20.00000000
    15.08798133        0.85668460       20.00000000
    15.16807496        0.85598928       20.00000000
    15.24814957        0.85529289       20.00000000
    15.32820531        0.85459544       20.00000000
    15.40824230        0.85389693       20.00000000
    15.48826067        0.85319736       20.00000000
    15.56826053        0.85249672       20.00000000
    15.64824201        0.85179502       20.00000000
    15.72820523        0.85109226       20.00000000
    15.80815027        0.85038845       20.00000000
    15.88807727        0.84968357       20.00000000
    15.96798631        0.84897763       20.00000000
    16.04787750        0.84827064       20.00000000
    16.12775095        0.84756258       20.00000000
    16.20760673        0.84685347       20.00000000
    16.28744494        0.84614330       20.00000000
    16.36726569        0.84543206       20.00000000
    16.44706904        0.84471977       20.00000000
    16.52685507        0.84400642       20.00000000
    16.60662388        0.84329201       20.00000000
    16.68637553        0.84257654       20.00000000
    16.76611011        0.84186001       20.00000000
    16.84582768        0.84114241       20.00000000
    16.92552831        0.84042375       20.00000000
    17.00521208        0.83970403       20.00000000
    17.08487904        0.83898325       20.00000000
    17.16452927        0.83826140       20.00000000
    17.24416280        0.83753848       20.00000000
    17.32377973        0.83681450       20.00000000
    17.40338007        0.83608944       20.00000000
    17.48296392        0.83536332       20.00000000
    17.56253129        0.83463613       20.00000000
    17.64208226        0.83390786       20.00000000
    17.72161685        0.83317853       20.00000000
    17.80113513        0.83244811       20.00000000
    17.88063714        0.83171662       20.00000000
    17.96012291        0.83098405       20.00000000
    18.03959248        0.83025040       20.00000000
    18.11904590        0.82951567       20.00000000
    18.19848320        0.82877985       20.00000000
    18.27790441        0.82804295       20.00000000
    18.35730957        0.82730496       20.00000000
    18.43669871        0.82656588       20.00000000
    18.51607184        0.82582571       20.00000000
    18.59542902        0.82508445       20.00000000
    18.67477026        0.82434209       20.00000000
    18.75409557        0.82359863       20.00000000
    18.83340500        0.82285407       20.00000000
    18.91269855        0.82210841       20.00000000
    18.99197625        0.82136164       20.00000000
    19.07123812        0.82061376       20.00000000
    19.15048417        0.81986478       20.00000000
    19.22971441        0.81911468       20.00000000
    19.30892887        0.81836346       20.00000000
    19.38812756        0.81761113       20.00000000
    19.46731048        0.81685767       20.00000000
    19.54647764        0.81610309       20.00000000
    19.62562906        0.81534739       20.00000000
    19.70476474        0.81459055       20.00000000
    19.78388468        0.81383258       20.00000000
    19.86298890        0.81307348       20.00000000
    19.94207739        0.81231324       20.00000000
    20.02115016        0.81155185       20.00000000
    20.10020721        0.81078932       20.00000000
    20.17924853        0.81002565       20.00000000
    20.25827413        0.80926082       20.00000000
    20.33728400        0.80849483       20.00000000
    20.41627815        0.80772769       20.00000000
    20.49525657        0.80695938       20.00000000
    20.57421924        0.80618991       20.00000000
    20.65316616        0.80541928       20.00000000
    20.73209732        0.80464746       20.00000000
    20.81101272        0.80387448       20.00000000
    20.88991236        0.80310031       20.00000000
    20.96879620        0.80232496       20.00000000
    21.04766424        0.80154843       20.00000000
    21.12651646        0.80077070       20.00000000
    21.20535287        0.79999178       20.00000000
    21.28417343        0.79921165       20.00000000
    21.36297813        0.79843033       20.00000000
    21.44176696        0.79764780       20.00000000
    21.52053990        0.79686406       20.00000000
    21.59929692        0.79607911       20.00000000
    21.67803801        0.79529293       20.00000000
    21.75676314        0.79450554       20.00000000
    21.83547230        0.79371691       20.00000000
    21.91416546        0.79292706       20.00000000
    21.99284260        0.79213597       20.00000000
    22.07150369        0.79134364       20.00000000
    22.15014871        0.79055006       20.00000000
    22.22877763        0.78975524       20.00000000
    22.30739042        0.78895916       20.00000000
    22.38598706        0.78816182       20.00000000
    22.46456751        0.78736323       20.00000000
    22.54313175        0.78656336       20.00000000
    22.62167975        0.78576223       20.00000000
    22.70021147        0.78495981       20.00000000
    22.77872689        0.78415612       20.00000000
    22.85722596        0.78335114       20.00000000
    22.93570865        0.78254487       20.00000000
    23.01417495        0.78173730       20.00000000
    23.09262479        0.78092843       20.00000000
    23.17105815        0.78011826       20.00000000
    23.24947500        0.77930678       20.00000000
    23.32787529        0.77849398       20.00000000
    23.40625898        0.77767986       20.00000000
    23.48462603        0.77686442       20.00000000
    23.56297642        0.77604764       20.00000000
    23.64131009        0.77522953       20.00000000
    23.71962700        0.77441007       20.00000000
    23.79792712        0.77358927       20.00000000
    23.87621038        0.77276712       20.00000000
    23.95447677        0.77194361       20.00000000
    24.03272622        0.77111874       20.00000000
    24.11095870        0.77029249       20.00000000
    24.18917415        0.76946488       20.00000000
    24.26737254        0.76863588       20.00000000
    24.34555381        0.76780550       20.00000000
    24.42371791        0.76697373       20.00000000
    24.50186480        0.76614056       20.00000000
    24.57999442        0.76530599       20.00000000
    24.65810673        0.76447002       20.00000000
    24.73620168        0.76363262       20.00000000
    24.81427921        0.76279381       20.00000000
    24.89233926        0.76195358       20.00000000
    24.97038180        0.76111191       20.00000000
    25.04840676        0.76026880       20.00000000
    25.12641409        0.75942425       20.00000000
