#  Mach amont      Angle Choc en °  Theta Mach = 1 en °  Inverse Mach         Kp
     1.01000000       84.31556555        4.41778049       -0.03141548        0.06720802
     1.01500000       83.06546490        5.38203490       -0.04246307        0.09231787
     1.02000000       82.02423196        6.19214436       -0.05226848        0.11504448
     1.02500000       81.11791787        6.90349098       -0.06113864        0.13596362
     1.03000000       80.30843347        7.54475956       -0.06925819        0.15542843
     1.03500000       79.57305123        8.13305516       -0.07675070        0.17367910
     1.04000000       78.89689351        8.67953668       -0.08370491        0.19089033
     1.04500000       78.26958640        9.19193910       -0.09018755        0.20719500
     1.05000000       77.68354029        9.67588700       -0.09625085        0.22269794
     1.05500000       77.13299550       10.13562168       -0.10193693        0.23748419
     1.06000000       76.61346510       10.57441652       -0.10728029        0.25162385
     1.06500000       76.12135966       10.99487311       -0.11231000        0.26517601
     1.07000000       75.65375195       11.39909873       -0.11705089        0.27819121
     1.07500000       75.20822824       11.78880957       -0.12152422        0.29071284
     1.08000000       74.78275375       12.16544663       -0.12574873        0.30277893
     1.08500000       74.37559765       12.53022693       -0.12974098        0.31442303
     1.09000000       73.98528494       12.88417044       -0.13351550        0.32567456
     1.09500000       73.61052442       13.22817245       -0.13708555        0.33656011
     1.10000000       73.25018902       13.56300717       -0.14046309        0.34710349
     1.10500000       72.90329934       13.88933191       -0.14365872        0.35732591
     1.11000000       72.56896921       14.20775102       -0.14668248        0.36724698
     1.11500000       72.24641427       14.51879097       -0.14954344        0.37688445
