#     Mach amont     Angle Choc en °    ThetaMax en °  Inverse Mach cone        Kp
     1.75000000       69.02713362       36.48050721       -0.40375414        1.09566486
     1.76000000       69.05180131       36.67657981       -0.40516776        1.10125360
     1.77000000       69.07856480       36.87000520       -0.40661622        1.10678981
     1.78000000       69.05155855       37.06108441       -0.40594765        1.11118372
     1.79000000       69.08216072       37.24940646       -0.40744613        1.11661564
     1.80000000       69.11472865       37.43520899       -0.40898444        1.12199915
     1.81000000       69.09275837       37.61877873       -0.40833964        1.12623200
     1.82000000       69.12892558       37.79973848       -0.40993743        1.13151945
     1.83000000       69.16693999       37.97829393       -0.41157947        1.13676211
     1.84000000       69.14968424       38.15476575       -0.41097226        1.14084664
     1.85000000       69.19107959       38.32871552       -0.41268217        1.14600049
     1.86000000       69.17673650       38.50062349       -0.41210001        1.14999078
     1.87000000       69.22137942       38.67011736       -0.41388284        1.15506029
     1.88000000       69.20982973       38.83762589       -0.41333085        1.15896118
     1.89000000       69.25759435       39.00280455       -0.41519129        1.16395044
     1.90000000       69.24872560       39.16606951       -0.41467414        1.16776642
     1.91000000       69.29949300       39.32706499       -0.41661650        1.17267923
     1.92000000       69.29319899       39.48623411       -0.41613851        1.17641447
     1.93000000       69.34685670       39.64317020       -0.41816680        1.18125433
     1.94000000       69.34303711       39.79838347       -0.41773192        1.18491270
     1.95000000       69.39947862       39.95137603       -0.41984986        1.18968285
     1.96000000       69.39803852       40.10276603       -0.41946172        1.19326796
     1.97000000       69.39766795       40.25224669       -0.41908844        1.19681576
     1.98000000       69.45801239       40.39961567       -0.42133472        1.20148658
     1.99000000       69.45989027       40.54546290       -0.42101316        1.20496617
     2.00000000       69.46277778       40.68949769       -0.42070890        1.20841102
     2.01000000       69.52682105       40.83148166       -0.42309034        1.21298886
     2.02000000       69.53183594       40.97205818       -0.42284217        1.21637005
     2.03000000       69.53780509       41.11091219       -0.42261345        1.21971880
     2.04000000       69.54471161       41.24807334       -0.42240486        1.22303587
     2.05000000       69.55253900       41.38357056       -0.42221706        1.22632199
     2.06000000       69.62223008       41.51720304       -0.42481994        1.23075740
     2.07000000       69.63200494       41.64950959       -0.42469442        1.23398661
     2.08000000       69.64265191       41.78023152       -0.42459141        1.23718683
     2.09000000       69.65415606       41.90939512       -0.42451144        1.24035871
     2.10000000       69.66650286       42.03702604       -0.42445504        1.24350285
     2.11000000       69.74138814       42.16285698       -0.42729304        1.24780964
     2.12000000       69.75552329       42.28753105       -0.42730394        1.25090258
     2.13000000       69.77045790       42.41074226       -0.42733979        1.25396947
     2.14000000       69.78617875       42.53251390       -0.42740102        1.25701085
     2.15000000       69.80267294       42.65286866       -0.42748804        1.26002726
     2.16000000       69.81992787       42.77182874       -0.42760127        1.26301922
     2.18000000       69.85667091       43.00565081       -0.42790781        1.26893177
     2.20000000       69.89631259       43.23414696       -0.42832348        1.27475233
     2.22000000       69.93876180       43.45747601       -0.42885087        1.28048452
     2.24000000       69.98393140       43.67578910       -0.42949233        1.28613174
     2.26000000       70.03173796       43.88923002       -0.43025002        1.29169720
     2.28000000       70.08210158       44.09793550       -0.43112591        1.29718391
     2.30000000       70.13494571       44.30203554       -0.43212180        1.30259473
     2.32000000       70.19019693       44.50165368       -0.43323933        1.30793236
     2.34000000       70.18308436       44.69732316       -0.43118512        1.31197221
     2.36000000       70.24271205       44.88842555       -0.43251326        1.31716938
     2.38000000       70.30454818       45.07539540       -0.43396708        1.32230080
     2.40000000       70.30315458       45.25874947       -0.43215233        1.32613384
     2.42000000       70.36900572       45.43789260       -0.43382360        1.33113922
     2.44000000       70.37108345       45.61356375       -0.43216504        1.33484508
     2.46000000       70.44073391       45.78529664       -0.43405715        1.33973295
     2.48000000       70.51231086       45.95337875       -0.43607950        1.34456510
     2.50000000       70.51934077       46.11842918       -0.43467362        1.34809859
