#  Mach amont      Angle Choc en °  Theta Mc = 1 en °  Mach aval         Kp
     1.76000000       55.95072123       32.06115883        1.12449038        0.78006208
     1.77000000       56.00236733       32.27868015        1.12363011        0.78654297
     1.78000000       56.05476277       32.49346168        1.12277691        0.79294906
     1.79000000       56.10783959       32.70553650        1.12193118        0.79928092
     1.80000000       56.16155273       32.91496651        1.12109260        0.80553995
     1.81000000       56.21584009       33.12178220        1.12026154        0.81172671
     1.82000000       56.27063047       33.32599585        1.11943876        0.81784126
     1.83000000       56.32587934       33.52765472        1.11862417        0.82388465
     1.84000000       56.38154309       33.72680263        1.11781773        0.82985783
     1.85000000       56.43757397       33.92347291        1.11701961        0.83576150
     1.86000000       56.49392741       34.11769948        1.11622993        0.84159635
     1.87000000       56.55056193       34.30951689        1.11544878        0.84736315
     1.88000000       56.60743904       34.49896027        1.11467621        0.85306265
     1.89000000       56.66452309       34.68606529        1.11391222        0.85869567
     1.90000000       56.72177027       34.87085289        1.11315715        0.86426258
     1.91000000       56.77914394       35.05335117        1.11241115        0.86976400
     1.92000000       56.83662774       35.23361338        1.11167373        0.87520126
     1.93000000       56.89419633       35.41167715        1.11094474        0.88057526
     1.94000000       56.95180927       35.58755672        1.11022461        0.88588623
     1.95000000       57.00942960       35.76126882        1.10951371        0.89113450
     1.96000000       57.06706614       35.93289000        1.10881082        0.89632211
     1.97000000       57.12466006       36.10240254        1.10811718        0.90144839
     1.98000000       57.18221265       36.26986794        1.10743191        0.90651500
     1.99000000       57.23969568       36.43530568        1.10675524        0.91152236
     2.00000000       57.29708917       36.59874432        1.10608714        0.91647116
     2.01000000       57.35437309       36.76021047        1.10542760        0.92136205
     2.02000000       57.41154619       36.91975365        1.10477600        0.92619637
     2.03000000       57.46855557       37.07735352        1.10413357        0.93097340
     2.04000000       57.52543037       37.23309607        1.10349868        0.93569556
     2.05000000       57.58213103       37.38697528        1.10287213        0.94036256
     2.06000000       57.63863537       37.53900668        1.10225418        0.94497476
     2.07000000       57.69495662       37.68925021        1.10164382        0.94953384
     2.08000000       57.75107972       37.83772753        1.10104109        0.95404034
     2.09000000       57.80697495       37.98444015        1.10044657        0.95849422
     2.10000000       57.86263252       38.12941413        1.09986017        0.96289617
     2.11000000       57.91805756       38.27269327        1.09928126        0.96724741
     2.12000000       57.97323932       38.41429975        1.09870982        0.97154853
     2.13000000       58.02816801       38.55425588        1.09814582        0.97580012
     2.14000000       58.08283479       38.69258404        1.09758921        0.98000277
     2.15000000       58.13723171       38.82930673        1.09703992        0.98415711
#  Mach amont      Angle Choc en °  Theta Mc = 1 en °  Mach aval         Kp
     2.16000000       58.19135170       38.96444652        1.09649787        0.98826373
     2.18000000       58.29873674       39.23006811        1.09543513        0.99633633
     2.20000000       58.40494955       39.48963083        1.09440014        1.00422561
     2.22000000       58.50996177       39.74331760        1.09339183        1.01193667
     2.24000000       58.61373751       39.99128897        1.09240965        1.01947400
     2.26000000       58.71622497       40.23367418        1.09145384        1.02684117
     2.28000000       58.81746210       40.47070143        1.09052154        1.03404485
     2.30000000       58.91736186       40.70243562        1.08961464        1.04108669
     2.32000000       59.01596701       40.92909047        1.08873044        1.04797300
     2.34000000       59.11326455       41.15080251        1.08786841        1.05470773
     2.36000000       59.20922428       41.36767941        1.08702879        1.06129397
     2.38000000       59.30384643       41.57985791        1.08621086        1.06773573
     2.40000000       59.39714586       41.78748490        1.08541340        1.07403737
     2.42000000       59.48912412       41.99068437        1.08463582        1.08020256
     2.44000000       59.57978769       42.18957988        1.08387745        1.08623499
     2.46000000       59.66911108       42.38425121        1.08313888        1.09213697
     2.48000000       59.75712913       42.57484410        1.08241853        1.09791294
     2.50000000       59.84386384       42.76148351        1.08171534        1.10356666
     2.52000000       59.92931867       42.94426770        1.08102902        1.10910112
     2.54000000       60.01346386       43.12325162        1.08036066        1.11451789
     2.56000000       60.09639031       43.29862682        1.07970669        1.11982293
     2.58000000       60.17801003       43.47037211        1.07907056        1.12501544
     2.60000000       60.25843631       43.63869682        1.07844793        1.13010197
     2.62000000       60.33761146       43.80360788        1.07784115        1.13508263
     2.64000000       60.41558096       43.96522859        1.07724859        1.13996124
     2.66000000       60.49237605       44.12366230        1.07666919        1.14474102
     2.68000000       60.56799391       44.27897006        1.07610326        1.14942382
     2.70000000       60.64242212       44.43119919        1.07555154        1.15401108
     2.72000000       60.71571320       44.58046885        1.07501221        1.15850652
     2.74000000       60.78787960       44.72684956        1.07448504        1.16291233
     2.76000000       60.85893530       44.87041115        1.07396978        1.16723068
     2.78000000       60.92889569       45.01122275        1.07346613        1.17146372
     2.80000000       60.99777743       45.14935281        1.07297375        1.17561359
     2.82000000       61.06559841       45.28486906        1.07249227        1.17968240
     2.84000000       61.13237765       45.41783851        1.07202127        1.18367225
     2.86000000       61.19813517       45.54832746        1.07156032        1.18758521
     2.88000000       61.26286224       45.67636791        1.07111016        1.19142226
     2.90000000       61.32658115       45.80202533        1.07067027        1.19518546
     2.92000000       61.38933402       45.92538585        1.07023931        1.19887753
     2.94000000       61.45114430       46.04651291        1.06981672        1.20250049
     2.96000000       61.51198013       46.16540640        1.06940422        1.20605426
     2.98000000       61.57188203       46.28214621        1.06900056        1.20954140
     3.00000000       61.63090585       46.39682796        1.06860382        1.21296494
     3.02000000       61.68897829       46.50940135        1.06821748        1.21632322
     3.04000000       61.74620092       46.62001066        1.06783770        1.21962087
     3.06000000       61.80253793       46.72864533        1.06746642        1.22285749
     3.08000000       61.85803030       46.83537950        1.06710234        1.22603546
     3.10000000       61.91267402       46.94023613        1.06674603        1.22915547
     3.12000000       61.96651047       47.04328766        1.06639617        1.23221984
     3.14000000       62.01950654       47.14452276        1.06605460        1.23522817
     3.16000000       62.07175349       47.24406736        1.06571783        1.23818449
     3.18000000       62.12316133       47.34184534        1.06539013        1.24108631
     3.20000000       62.17382796       47.43798817        1.06506773        1.24393786
     3.22000000       62.22376902       47.53253519        1.06475035        1.24674037
#  Mach amont      Angle Choc en °  Theta Mc = 1 en °  Mach aval         Kp
     3.20000000       62.17382796       47.43798817        1.06506773        1.24393786
     3.30000000       62.41611176       47.89499841        1.06354645        1.25746703
     3.40000000       62.64109753       48.31550803        1.06216456        1.26987667
     3.50000000       62.85022849       48.70322554        1.06090695        1.28128353
     3.60000000       63.04491696       49.06150572        1.05975641        1.29179323
     3.70000000       63.22638405       49.39323089        1.05870068        1.30149621
     3.80000000       63.39563889       49.70083504        1.05773378        1.31046858
     3.90000000       63.55378038       49.98666785        1.05684227        1.31878385
     4.00000000       63.70171607       50.25271831        1.05601831        1.32650396
     4.10000000       63.84018443       50.50066412        1.05525908        1.33368086
     4.20000000       63.97004174       50.73220031        1.05455346        1.34036721
     4.30000000       64.09191051       50.94867657        1.05389880        1.34660455
     4.40000000       64.20639861       51.15134691        1.05329088        1.35243143
     4.50000000       64.31409597       51.34137696        1.05272416        1.35788367
     4.60000000       64.41554476       51.51982125        1.05219342        1.36299354
     4.70000000       64.51111252       51.68749597        1.05170017        1.36778574
     4.80000000       64.60130576       51.84532054        1.05123747        1.37228834
     4.90000000       64.68650357       51.99403876        1.05080311        1.37652388
     5.00000000       64.76704372       52.13431585        1.05039559        1.38051239
