#  Theta paroi en °         Kp           Mach amont
     1.53963134        0.00398674        3.20000000
     1.86039515        0.00546557        3.20000000
     2.20415094        0.00723546        3.20000000
     2.57452941        0.00934025        3.20000000
     2.95728524        0.01171652        3.20000000
     3.34418254        0.01431436        3.20000000
     3.73235811        0.01710929        3.20000000
     4.12174635        0.02009531        3.20000000
     4.51356142        0.02327857        3.20000000
     4.90956242        0.02667337        3.20000000
     5.24228082        0.02966108        3.20000000
     5.53395519        0.03238059        3.20000000
     5.79658612        0.03490879        3.20000000
     6.03744819        0.03729322        3.20000000
     6.26131142        0.03956553        3.20000000
     6.47148651        0.04174795        3.20000000
     6.67037265        0.04385678        3.20000000
     6.85976851        0.04590434        3.20000000
     7.04106008        0.04790018        3.20000000
     7.21533963        0.04985188        3.20000000
     7.38348461        0.05176556        3.20000000
     7.54621122        0.05364624        3.20000000
     7.70411238        0.05549810        3.20000000
     7.85768482        0.05732462        3.20000000
     8.00734922        0.05912879        3.20000000
     8.15346524        0.06091316        3.20000000
     8.29634288        0.06267991        3.20000000
     8.43625145        0.06443097        3.20000000
     8.57342648        0.06616800        3.20000000
     8.70807529        0.06789248        3.20000000
     8.84038129        0.06960571        3.20000000
     8.97050768        0.07130884        3.20000000
     9.09860031        0.07300292        3.20000000
     9.22479015        0.07468887        3.20000000
     9.34919522        0.07636751        3.20000000
     9.47192232        0.07803962        3.20000000
     9.59306842        0.07970586        3.20000000
     9.71272183        0.08136687        3.20000000
     9.83096326        0.08302319        3.20000000
     9.94786665        0.08467536        3.20000000
    10.06349993        0.08632385        3.20000000
    10.17792568        0.08796908        3.20000000
    10.29120170        0.08961146        3.20000000
    10.40338140        0.09125135        3.20000000
    10.51451440        0.09288910        3.20000000
    10.62464674        0.09452502        3.20000000
    10.73382130        0.09615940        3.20000000
    10.84207809        0.09779251        3.20000000
    10.94945444        0.09942460        3.20000000
    11.05598535        0.10105591        3.20000000
    11.16170357        0.10268665        3.20000000
    11.26663986        0.10431703        3.20000000
    11.37082314        0.10594724        3.20000000
    11.47428060        0.10757745        3.20000000
    11.57703792        0.10920783        3.20000000
    11.67911930        0.11083854        3.20000000
    11.78054758        0.11246972        3.20000000
    11.88134442        0.11410150        3.20000000
    11.98153030        0.11573403        3.20000000
    12.08112463        0.11736742        3.20000000
    12.18014584        0.11900177        3.20000000
    12.27861143        0.12063721        3.20000000
    12.37653805        0.12227383        3.20000000
    12.47394154        0.12391173        3.20000000
    12.57083696        0.12555099        3.20000000
    12.66723872        0.12719170        3.20000000
    12.76316052        0.12883394        3.20000000
    12.85861547        0.13047779        3.20000000
    12.95361609        0.13212332        3.20000000
    13.04817435        0.13377060        3.20000000
    13.14230170        0.13541968        3.20000000
    13.23600913        0.13707063        3.20000000
    13.32930713        0.13872351        3.20000000
    13.42220581        0.14037838        3.20000000
    13.51471484        0.14203527        3.20000000
    13.60684350        0.14369425        3.20000000
    13.69860072        0.14535535        3.20000000
    13.78999509        0.14701862        3.20000000
    13.88103485        0.14868411        3.20000000
    13.97172796        0.15035184        3.20000000
    14.06208206        0.15202186        3.20000000
    14.15210451        0.15369421        3.20000000
    14.24180242        0.15536891        3.20000000
    14.33118263        0.15704599        3.20000000
    14.42025177        0.15872550        3.20000000
    14.50901620        0.16040744        3.20000000
    14.59748208        0.16209186        3.20000000
    14.68565538        0.16377878        3.20000000
    14.77354184        0.16546821        3.20000000
    14.86114702        0.16716019        3.20000000
    14.94847630        0.16885473        3.20000000
    15.03553490        0.17055186        3.20000000
    15.12232786        0.17225158        3.20000000
    15.20886005        0.17395393        3.20000000
    15.29513623        0.17565892        3.20000000
    15.38116095        0.17736655        3.20000000
    15.46693868        0.17907686        3.20000000
    15.55247373        0.18078984        3.20000000
    15.63777026        0.18250552        3.20000000
    15.72283237        0.18422391        3.20000000
    15.80766399        0.18594502        3.20000000
    15.89226893        0.18766885        3.20000000
    15.97665093        0.18939542        3.20000000
    16.06081359        0.19112474        3.20000000
    16.14476044        0.19285681        3.20000000
    16.22849489        0.19459165        3.20000000
    16.31202026        0.19632926        3.20000000
    16.39533979        0.19806965        3.20000000
    16.47845661        0.19981282        3.20000000
    16.56137380        0.20155879        3.20000000
    16.64409435        0.20330754        3.20000000
    16.72662114        0.20505910        3.20000000
    16.80895701        0.20681345        3.20000000
    16.89110472        0.20857062        3.20000000
    16.97306696        0.21033059        3.20000000
    17.05484633        0.21209338        3.20000000
    17.13644541        0.21385898        3.20000000
    17.21786667        0.21562739        3.20000000
    17.29911255        0.21739862        3.20000000
    17.38018542        0.21917267        3.20000000
    17.46108759        0.22094954        3.20000000
    17.54182133        0.22272923        3.20000000
    17.62238883        0.22451174        3.20000000
    17.70279224        0.22629707        3.20000000
    17.78303369        0.22808521        3.20000000
    17.86311520        0.22987617        3.20000000
    17.94303880        0.23166995        3.20000000
    18.02280644        0.23346654        3.20000000
    18.10242004        0.23526594        3.20000000
    18.18188149        0.23706816        3.20000000
    18.26119259        0.23887318        3.20000000
    18.34035517        0.24068100        3.20000000
    18.41937095        0.24249163        3.20000000
    18.49824166        0.24430505        3.20000000
    18.57696898        0.24612127        3.20000000
    18.65555454        0.24794028        3.20000000
    18.73399995        0.24976208        3.20000000
    18.81230679        0.25158666        3.20000000
    18.89047660        0.25341402        3.20000000
    18.96851088        0.25524416        3.20000000
    19.04641111        0.25707706        3.20000000
    19.12417873        0.25891274        3.20000000
    19.20181516        0.26075117        3.20000000
    19.27932178        0.26259235        3.20000000
    19.35669997        0.26443628        3.20000000
    19.43395104        0.26628296        3.20000000
    19.51107631        0.26813238        3.20000000
    19.58807705        0.26998453        3.20000000
    19.66495451        0.27183940        3.20000000
    19.74170993        0.27369699        3.20000000
    19.81834451        0.27555730        3.20000000
    19.89485944        0.27742031        3.20000000
    19.97125586        0.27928603        3.20000000
    20.04753493        0.28115444        3.20000000
    20.12369775        0.28302553        3.20000000
    20.19974541        0.28489930        3.20000000
    20.27567900        0.28677575        3.20000000
    20.35149957        0.28865486        3.20000000
    20.42720814        0.29053663        3.20000000
    20.50280573        0.29242105        3.20000000
    20.57829335        0.29430811        3.20000000
    20.65367195        0.29619780        3.20000000
    20.72894251        0.29809012        3.20000000
    20.80410597        0.29998507        3.20000000
    20.87916324        0.30188262        3.20000000
    20.95411525        0.30378277        3.20000000
    21.02896287        0.30568552        3.20000000
    21.10370699        0.30759085        3.20000000
    21.17834846        0.30949877        3.20000000
    21.25288813        0.31140925        3.20000000
    21.32732683        0.31332229        3.20000000
    21.40166537        0.31523788        3.20000000
    21.47590456        0.31715602        3.20000000
    21.55004517        0.31907668        3.20000000
    21.62408799        0.32099988        3.20000000
    21.69803377        0.32292559        3.20000000
    21.77188326        0.32485380        3.20000000
    21.84563719        0.32678452        3.20000000
    21.91929628        0.32871772        3.20000000
    21.99286124        0.33065340        3.20000000
    22.06633277        0.33259155        3.20000000
    22.13971155        0.33453216        3.20000000
    22.21299825        0.33647522        3.20000000
    22.28619353        0.33842072        3.20000000
    22.35929805        0.34036865        3.20000000
    22.43231244        0.34231900        3.20000000
    22.50523733        0.34427176        3.20000000
    22.57807335        0.34622692        3.20000000
    22.65082109        0.34818448        3.20000000
    22.72348115        0.35014441        3.20000000
    22.79605413        0.35210672        3.20000000
    22.86854059        0.35407139        3.20000000
    22.94094111        0.35603841        3.20000000
    23.01325624        0.35800776        3.20000000
    23.08548654        0.35997945        3.20000000
    23.15763254        0.36195346        3.20000000
    23.22969478        0.36392978        3.20000000
    23.30167377        0.36590840        3.20000000
    23.37357004        0.36788930        3.20000000
    23.44538408        0.36987249        3.20000000
    23.51711640        0.37185793        3.20000000
    23.58876749        0.37384564        3.20000000
    23.66033781        0.37583559        3.20000000
    23.73182786        0.37782778        3.20000000
    23.80323809        0.37982219        3.20000000
    23.87456896        0.38181881        3.20000000
    23.94582092        0.38381764        3.20000000
    24.01699441        0.38581866        3.20000000
    24.08808988        0.38782186        3.20000000
    24.15910775        0.38982722        3.20000000
    24.23004844        0.39183475        3.20000000
    24.30091236        0.39384442        3.20000000
    24.37169993        0.39585623        3.20000000
    24.44241154        0.39787016        3.20000000
    24.51304759        0.39988621        3.20000000
    24.58360847        0.40190436        3.20000000
    24.65409456        0.40392460        3.20000000
    24.72450624        0.40594691        3.20000000
    24.79484388        0.40797130        3.20000000
    24.86510783        0.40999775        3.20000000
    24.93529846        0.41202623        3.20000000
    25.00541613        0.41405676        3.20000000
    25.07546116        0.41608930        3.20000000
    25.14543392        0.41812386        3.20000000
    25.21533472        0.42016041        3.20000000
    25.28516390        0.42219895        3.20000000
    25.35492179        0.42423947        3.20000000
    25.42460870        0.42628195        3.20000000
    25.49422495        0.42832638        3.20000000
    25.56377084        0.43037276        3.20000000
    25.63324668        0.43242106        3.20000000
    25.70265276        0.43447128        3.20000000
    25.77198938        0.43652341        3.20000000
    25.84125682        0.43857742        3.20000000
    25.91045537        0.44063332        3.20000000
    25.97958530        0.44269109        3.20000000
    26.04864690        0.44475072        3.20000000
    26.11764042        0.44681219        3.20000000
    26.18656613        0.44887549        3.20000000
    26.25542430        0.45094062        3.20000000
    26.32421517        0.45300755        3.20000000
    26.39293900        0.45507629        3.20000000
    26.46159604        0.45714680        3.20000000
    26.53018652        0.45921909        3.20000000
    26.59871069        0.46129315        3.20000000
    26.66716877        0.46336894        3.20000000
    26.73556100        0.46544648        3.20000000
    26.80388760        0.46752574        3.20000000
    26.87214880        0.46960671        3.20000000
    26.94034481        0.47168938        3.20000000
    27.00847584        0.47377374        3.20000000
    27.07654211        0.47585977        3.20000000
    27.14454381        0.47794747        3.20000000
    27.21248117        0.48003681        3.20000000
    27.28035436        0.48212779        3.20000000
    27.34816358        0.48422040        3.20000000
    27.41590903        0.48631462        3.20000000
    27.48359089        0.48841044        3.20000000
    27.55120935        0.49050785        3.20000000
    27.61876459        0.49260684        3.20000000
    27.68625677        0.49470738        3.20000000
    27.75368608        0.49680948        3.20000000
    27.82105269        0.49891311        3.20000000
    27.88835676        0.50101827        3.20000000
    27.95559845        0.50312495        3.20000000
    28.02277792        0.50523312        3.20000000
    28.08989534        0.50734278        3.20000000
    28.15695084        0.50945391        3.20000000
    28.22394459        0.51156650        3.20000000
    28.29087673        0.51368055        3.20000000
    28.35774739        0.51579603        3.20000000
    28.42455674        0.51791293        3.20000000
    28.49130489        0.52003125        3.20000000
    28.55799198        0.52215096        3.20000000
    28.62461815        0.52427206        3.20000000
    28.69118352        0.52639453        3.20000000
    28.75768822        0.52851836        3.20000000
    28.82413237        0.53064354        3.20000000
    28.89051609        0.53277005        3.20000000
    28.95683949        0.53489788        3.20000000
    29.02310269        0.53702702        3.20000000
    29.08930580        0.53915745        3.20000000
    29.15544893        0.54128917        3.20000000
    29.22153218        0.54342216        3.20000000
    29.28755566        0.54555640        3.20000000
    29.35351945        0.54769189        3.20000000
    29.41942367        0.54982861        3.20000000
    29.48526841        0.55196654        3.20000000
    29.55105375        0.55410568        3.20000000
    29.61677978        0.55624602        3.20000000
    29.68244660        0.55838753        3.20000000
    29.74805428        0.56053020        3.20000000
    29.81360290        0.56267403        3.20000000
    29.87909255        0.56481900        3.20000000
    29.94452330        0.56696509        3.20000000
    30.00989522        0.56911230        3.20000000
    30.07520838        0.57126060        3.20000000
    30.14046286        0.57341000        3.20000000
    30.20565872        0.57556047        3.20000000
    30.27079601        0.57771199        3.20000000
    30.33587481        0.57986457        3.20000000
    30.40089516        0.58201818        3.20000000
    30.46585714        0.58417281        3.20000000
    30.53076078        0.58632845        3.20000000
    30.59560614        0.58848508        3.20000000
    30.66039327        0.59064270        3.20000000
    30.72512222        0.59280128        3.20000000
    30.78979303        0.59496082        3.20000000
    30.85440575        0.59712130        3.20000000
    30.91896041        0.59928271        3.20000000
    30.98345704        0.60144503        3.20000000
    31.04789569        0.60360826        3.20000000
    31.11227639        0.60577237        3.20000000
    31.17659916        0.60793736        3.20000000
    31.24086405        0.61010322        3.20000000
    31.30507106        0.61226992        3.20000000
    31.36922023        0.61443745        3.20000000
    31.43331158        0.61660581        3.20000000
    31.49734513        0.61877498        3.20000000
    31.56132089        0.62094494        3.20000000
    31.62523888        0.62311568        3.20000000
    31.68909911        0.62528720        3.20000000
    31.75290160        0.62745947        3.20000000
    31.81664635        0.62963248        3.20000000
    31.88033337        0.63180621        3.20000000
    31.94396267        0.63398067        3.20000000
    32.00753424        0.63615582        3.20000000
    32.07104809        0.63833167        3.20000000
    32.13450421        0.64050818        3.20000000
    32.19790260        0.64268536        3.20000000
    32.26124325        0.64486319        3.20000000
    32.32452617        0.64704165        3.20000000
    32.38775133        0.64922073        3.20000000
    32.45091872        0.65140042        3.20000000
    32.51402834        0.65358071        3.20000000
    32.57708015        0.65576157        3.20000000
    32.64007416        0.65794300        3.20000000
    32.70301033        0.66012499        3.20000000
    32.76588864        0.66230751        3.20000000
    32.82870907        0.66449056        3.20000000
    32.89147159        0.66667413        3.20000000
    32.95417618        0.66885819        3.20000000
    33.01682280        0.67104274        3.20000000
    33.07941142        0.67322776        3.20000000
    33.14194202        0.67541324        3.20000000
    33.20441454        0.67759917        3.20000000
    33.26682895        0.67978553        3.20000000
    33.32918522        0.68197230        3.20000000
    33.39148330        0.68415948        3.20000000
    33.45372315        0.68634706        3.20000000
    33.51590471        0.68853500        3.20000000
    33.57802795        0.69072332        3.20000000
    33.64009281        0.69291198        3.20000000
    33.70209924        0.69510098        3.20000000
    33.76404719        0.69729030        3.20000000
    33.82593660        0.69947994        3.20000000
    33.88776741        0.70166986        3.20000000
    33.94953957        0.70386007        3.20000000
    34.01125300        0.70605055        3.20000000
    34.07290766        0.70824129        3.20000000
    34.13450347        0.71043226        3.20000000
    34.19604037        0.71262347        3.20000000
    34.25751828        0.71481488        3.20000000
    34.31893714        0.71700650        3.20000000
    34.38029687        0.71919831        3.20000000
    34.44159739        0.72139028        3.20000000
    34.50283864        0.72358242        3.20000000
    34.56402053        0.72577471        3.20000000
    34.62514298        0.72796712        3.20000000
    34.68620590        0.73015966        3.20000000
    34.74720922        0.73235230        3.20000000
    34.80815285        0.73454503        3.20000000
    34.86903669        0.73673784        3.20000000
    34.92986066        0.73893071        3.20000000
    34.99062467        0.74112363        3.20000000
    35.05132861        0.74331659        3.20000000
    35.11197240        0.74550957        3.20000000
    35.17255594        0.74770256        3.20000000
    35.23307912        0.74989555        3.20000000
    35.29354186        0.75208852        3.20000000
    35.35394403        0.75428146        3.20000000
    35.41428553        0.75647435        3.20000000
    35.47456626        0.75866718        3.20000000
    35.53478611        0.76085994        3.20000000
    35.59494496        0.76305262        3.20000000
    35.65504271        0.76524519        3.20000000
    35.71507924        0.76743765        3.20000000
    35.77505442        0.76962998        3.20000000
    35.83496814        0.77182218        3.20000000
    35.89482029        0.77401421        3.20000000
    35.95461073        0.77620608        3.20000000
    36.01433934        0.77839776        3.20000000
    36.07400599        0.78058925        3.20000000
    36.13361056        0.78278053        3.20000000
    36.19315291        0.78497159        3.20000000
    36.25263290        0.78716241        3.20000000
    36.31205042        0.78935298        3.20000000
    36.37140531        0.79154328        3.20000000
    36.43069744        0.79373330        3.20000000
    36.48992667        0.79592304        3.20000000
    36.54909285        0.79811247        3.20000000
    36.60819584        0.80030157        3.20000000
    36.66723550        0.80249035        3.20000000
    36.72621167        0.80467878        3.20000000
    36.78512421        0.80686685        3.20000000
    36.84397295        0.80905454        3.20000000
    36.90275775        0.81124185        3.20000000
    36.96147845        0.81342875        3.20000000
    37.02013488        0.81561524        3.20000000
    37.07872689        0.81780130        3.20000000
    37.13725432        0.81998692        3.20000000
    37.19571700        0.82217208        3.20000000
    37.25411476        0.82435678        3.20000000
    37.31244743        0.82654098        3.20000000
    37.37071484        0.82872469        3.20000000
    37.42891682        0.83090789        3.20000000
    37.48705319        0.83309057        3.20000000
    37.54512378        0.83527271        3.20000000
    37.60312840        0.83745429        3.20000000
    37.66106687        0.83963531        3.20000000
    37.71893901        0.84181575        3.20000000
