#  Theta paroi en °  Inverse Mach Paroi  Mach amont
    19.43395104        0.59129060        3.20000000
    19.51107631        0.59066877        3.20000000
    19.58807705        0.59004569        3.20000000
    19.66495451        0.58942134        3.20000000
    19.74170993        0.58879572        3.20000000
    19.81834451        0.58816881        3.20000000
    19.89485944        0.58754062        3.20000000
    19.97125586        0.58691113        3.20000000
    20.04753493        0.58628033        3.20000000
    20.12369775        0.58564822        3.20000000
    20.19974541        0.58501479        3.20000000
    20.27567900        0.58438003        3.20000000
    20.35149957        0.58374394        3.20000000
    20.42720814        0.58310650        3.20000000
    20.50280573        0.58246771        3.20000000
    20.57829335        0.58182757        3.20000000
    20.65367195        0.58118606        3.20000000
    20.72894251        0.58054318        3.20000000
    20.80410597        0.57989893        3.20000000
    20.87916324        0.57925328        3.20000000
    20.95411525        0.57860625        3.20000000
    21.02896287        0.57795781        3.20000000
    21.10370699        0.57730797        3.20000000
    21.17834846        0.57665672        3.20000000
    21.25288813        0.57600404        3.20000000
    21.32732683        0.57534994        3.20000000
    21.40166537        0.57469440        3.20000000
    21.47590456        0.57403742        3.20000000
    21.55004517        0.57337900        3.20000000
    21.62408799        0.57271912        3.20000000
    21.69803377        0.57205778        3.20000000
    21.77188326        0.57139497        3.20000000
    21.84563719        0.57073069        3.20000000
    21.91929628        0.57006493        3.20000000
    21.99286124        0.56939768        3.20000000
    22.06633277        0.56872894        3.20000000
    22.13971155        0.56805870        3.20000000
    22.21299825        0.56738695        3.20000000
    22.28619353        0.56671368        3.20000000
    22.35929805        0.56603890        3.20000000
    22.43231244        0.56536259        3.20000000
    22.50523733        0.56468475        3.20000000
    22.57807335        0.56400537        3.20000000
    22.65082109        0.56332445        3.20000000
    22.72348115        0.56264197        3.20000000
    22.79605413        0.56195793        3.20000000
    22.86854059        0.56127233        3.20000000
    22.94094111        0.56058516        3.20000000
    23.01325624        0.55989641        3.20000000
    23.08548654        0.55920608        3.20000000
    23.15763254        0.55851416        3.20000000
    23.22969478        0.55782064        3.20000000
    23.30167377        0.55712552        3.20000000
    23.37357004        0.55642879        3.20000000
    23.44538408        0.55573044        3.20000000
    23.51711640        0.55503048        3.20000000
    23.58876749        0.55432888        3.20000000
    23.66033781        0.55362566        3.20000000
    23.73182786        0.55292079        3.20000000
    23.80323809        0.55221428        3.20000000
    23.87456896        0.55150611        3.20000000
    23.94582092        0.55079628        3.20000000
    24.01699441        0.55008479        3.20000000
    24.08808988        0.54937163        3.20000000
    24.15910775        0.54865679        3.20000000
    24.23004844        0.54794026        3.20000000
    24.30091236        0.54722205        3.20000000
    24.37169993        0.54650214        3.20000000
    24.44241154        0.54578052        3.20000000
    24.51304759        0.54505720        3.20000000
    24.58360847        0.54433216        3.20000000
    24.65409456        0.54360540        3.20000000
    24.72450624        0.54287691        3.20000000
    24.79484388        0.54214669        3.20000000
    24.86510783        0.54141472        3.20000000
    24.93529846        0.54068101        3.20000000
    25.00541613        0.53994555        3.20000000
    25.07546116        0.53920832        3.20000000
    25.14543392        0.53846933        3.20000000
    25.21533472        0.53772857        3.20000000
    25.28516390        0.53698603        3.20000000
    25.35492179        0.53624170        3.20000000
    25.42460870        0.53549559        3.20000000
