#  Mach amont      Angle Choc en °  Theta Mach = 1 en °  Inverse Mach         Kp
     3.20000000       64.13994176       48.38906957       -0.07182202        1.29210852
     3.30000000       64.31078976       48.80889920       -0.07003564        1.30364422
     3.40000000       64.47165769       49.19619236       -0.06841483        1.31427004
     3.50000000       64.62307814       49.55410613       -0.06694006        1.32407533
     3.60000000       64.76555676       49.88551246       -0.06559416        1.33313996
     3.70000000       64.89963798       50.19289092       -0.06436267        1.34153423
     3.80000000       65.02583261       50.47848279       -0.06323290        1.34932096
     3.90000000       65.14466416       50.74422769       -0.06219408        1.35655560
     4.00000000       65.25659441       50.99192165       -0.06123655        1.36328816
     4.10000000       65.36208833       51.22312066       -0.06035208        1.36956290
     4.20000000       65.46157177       51.43923846       -0.05953339        1.37541959
     4.30000000       65.55543699       51.64155572       -0.05877401        1.38089401
     4.40000000       65.64409230       51.83114917       -0.05806856        1.38601763
     4.50000000       65.72785111       52.00910678       -0.05741179        1.39081981
     4.60000000       65.80704839       52.17633412       -0.05679936        1.39532634
     4.70000000       65.88199313       52.33365369       -0.05622739        1.39956054
     4.80000000       65.95296736       52.48181855       -0.05569239        1.40354358
     4.90000000       66.02022860       52.62151909       -0.05519123        1.40729471
     5.00000000       66.08401193       52.75338922       -0.05472105        1.41083143
