#  Mach amont      Angle Choc en °  Theta Mach = 1 en °  Inverse Mach         Kp
     6.00000000       66.57257935       53.74506557       -0.05127433        1.43729212
     7.00000000       66.88106369       54.35571775       -0.04922895        1.45345870
     8.00000000       67.08701433       54.75743034       -0.04791479        1.46403581
     9.00000000       67.23085571       55.03538489       -0.04701987        1.47132572
    10.00000000       67.33511536       55.23544055       -0.04638302        1.47655862
    11.00000000       67.41296515       55.38418908       -0.04591336        1.48044075
    12.00000000       67.47259601       55.49772310       -0.04555711        1.48339912
    13.00000000       67.51927070       55.58629393       -0.04528055        1.48570459
    14.00000000       67.55643543       55.65676925       -0.04506128        1.48753644
    15.00000000       67.58654356       55.71368412       -0.04488478        1.48901530
    16.00000000       67.61124406       55.76034466       -0.04474042        1.49022667
