#     beta          m             H            s          d1/d         d2/d         Cf          xk         Eta Max       Lambda      End_BL
    0.02340      0.01184      2.55985      0.49920      1.65845      0.64787      0.35507      1.40592      4.83418      0.00497     343846
    0.02656      0.01346      2.55594      0.50308      1.65050      0.64575      0.35812      1.40479      4.83032      0.00561     343846
    0.02973      0.01509      2.55209      0.50695      1.64261      0.64363      0.36116      1.40366      4.77637      0.00625     340279
    0.03291      0.01673      2.54829      0.51081      1.63479      0.64152      0.36420      1.40253      4.77252      0.00688     340279
    0.03610      0.01838      2.54454      0.51466      1.62704      0.63942      0.36725      1.40139      4.76864      0.00752     340279
    0.03931      0.02005      2.54085      0.51849      1.61935      0.63733      0.37029      1.40025      4.76475      0.00814     340279
    0.04252      0.02172      2.53719      0.52232      1.61173      0.63524      0.37333      1.39910      4.76084      0.00877     340279
    0.04575      0.02341      2.53359      0.52614      1.60417      0.63316      0.37637      1.39794      4.70856      0.00939     336820
    0.04899      0.02511      2.53003      0.52995      1.59667      0.63109      0.37940      1.39678      4.70465      0.01000     336820
    0.05224      0.02682      2.52652      0.53374      1.58923      0.62902      0.38244      1.39562      4.70073      0.01061     336820
    0.05551      0.02855      2.52306      0.53753      1.58186      0.62696      0.38548      1.39445      4.69679      0.01122     336820
    0.05878      0.03028      2.51964      0.54131      1.57455      0.62491      0.38852      1.39328      4.69283      0.01183     336820
    0.06207      0.03203      2.51626      0.54508      1.56729      0.62286      0.39155      1.39210      4.64214      0.01243     333464
    0.06537      0.03379      2.51293      0.54884      1.56009      0.62083      0.39459      1.39091      4.63819      0.01302     333464
    0.06868      0.03556      2.50964      0.55258      1.55296      0.61880      0.39762      1.38972      4.63422      0.01362     333464
    0.07200      0.03734      2.50639      0.55632      1.54587      0.61677      0.40066      1.38853      4.63023      0.01421     333464
    0.07533      0.03914      2.50318      0.56005      1.53885      0.61476      0.40369      1.38733      4.62623      0.01479     333464
    0.07867      0.04094      2.50001      0.56377      1.53188      0.61275      0.40673      1.38612      4.57701      0.01537     330203
    0.08202      0.04276      2.49688      0.56748      1.52497      0.61075      0.40976      1.38491      4.57302      0.01595     330203
    0.08538      0.04460      2.49379      0.57118      1.51810      0.60875      0.41279      1.38370      4.56901      0.01653     330203
    0.08876      0.04644      2.49074      0.57487      1.51130      0.60677      0.41583      1.38248      4.56498      0.01710     330203
    0.09214      0.04829      2.48772      0.57856      1.50454      0.60479      0.41886      1.38125      4.56094      0.01766     330203
    0.09553      0.05016      2.48474      0.58223      1.49784      0.60281      0.42190      1.38002      4.51315      0.01823     327034
    0.09894      0.05204      2.48180      0.58589      1.49119      0.60085      0.42493      1.37879      4.50911      0.01879     327034
    0.10235      0.05393      2.47889      0.58954      1.48459      0.59889      0.42796      1.37755      4.50506      0.01934     327034
    0.10577      0.05584      2.47602      0.59319      1.47804      0.59694      0.43100      1.37631      4.50100      0.01990     327034
    0.10921      0.05776      2.47318      0.59682      1.47154      0.59500      0.43403      1.37506      4.49692      0.02045     327034
    0.11265      0.05969      2.47038      0.60045      1.46508      0.59306      0.43707      1.37381      4.45047      0.02099     323951
    0.11610      0.06163      2.46761      0.60407      1.45868      0.59113      0.44010      1.37255      4.44639      0.02154     323951
    0.11956      0.06358      2.46487      0.60767      1.45232      0.58921      0.44314      1.37129      4.44231      0.02207     323951
    0.12304      0.06555      2.46217      0.61127      1.44601      0.58729      0.44618      1.37002      4.43820      0.02261     323951
    0.12652      0.06753      2.45949      0.61486      1.43975      0.58538      0.44921      1.36875      4.43409      0.02314     323951
