# x/L                 Kp
-0.901116878728  -0.0101167427415
-0.802443919117  -0.037716119674
-0.651506639323  -0.0556879291659
-0.475638417551  -0.0582693118648
-0.250277124934  -0.0613636332418
-0.0512251875315  -0.0468067446783
0.149658452963  -0.0268298487248
0.351310625801  -0.0166429834165
0.553809626503  -0.00960277385919
0.752702912456  -0.00850746073892
