
# Int J. Heat Mass transfer. Vol. 15. pp. 1023-1044. W.M. Kays, 1972
#   kappa           B+
0.389690562877  31.7963676624
0.393195860924  32.1527881278
0.397139764799  32.5082504737
0.401520855068  33.0083888688
0.40488066089  33.2923116231
0.409407243384  33.8649477293
0.413351147259  34.2204100752
0.418025351133  34.6470926395
0.421676141404  35.0760108161
0.425619335562  35.5042902463
0.430001135549  35.9316115571
0.43409053165  36.3595716141
0.437449627753  36.7163114527
0.442123831626  37.1429940171
0.446066316066  37.6440905316
0.449279919944  37.9283326591
0.453078331595  38.2112972938
0.456729831584  38.5673983861
0.461110921853  39.0675367811
0.464616219899  39.4239572466
0.467683621834  39.7085187472
0.47075031405  40.0658973322
0.472648810157  40.2801967339
0.474547306265  40.4944961356
0.476738206258  40.7081567909
0.479513204307  40.9933570379
0.481704814018  41.1342006089
0.484479102348  41.4922179403
0.486816204285  41.7055592224
0.48812989262  41.9211361168
0.489882896502  42.0629378074
