# 100 x/c , (v/U0)**2, v/U0,  Delta va/U0  
0     0 0 1.988
0.5   0.640 0.80 1.475
1.25 1.01 1.005 1.199
2.5  1.241 1.114 0.934
5.0  1.378 1.174 0.685
7.5 1.402 1.184 0.558
10 1.411 1.188 0.479
15 1.411 1.188 0.381
20 1.399 1.183 0.319
25 1.378 1.174 0.273
30 1.350 1.162 0.239
40 1.288 1.135 0.187
50 1.228 1.108 0.149
60 1.166 1.080 0.118
70 1.109 1.053 0.092
80 1.044 1.022 0.068
90 0.956 0.978 0.044
95 0.906 0.952 0.029
100 0    0     0 
