#      X            Y
-99.7870106951  -0.106570720056
-98.4695197091  2.67773196817
-95.6824025194  3.9604600569
-94.1762638633  5.03027490834
-91.6082213872  5.8846662914
-88.6142003012  6.73860126881
-86.25914713  7.5932208547
-83.4842007576  8.01881912644
-80.9192009858  8.65892805526
-77.7152332994  9.29835237559
-74.0852870031  9.93732029027
-70.0324048014  10.3615493451
-66.8314798193  10.7866912111
-62.559522904  11.6392569716
-59.3646833305  11.6358339292
-55.3118011288  12.060062984
-51.6848975369  12.4847484444
-45.286090277  13.1207497224
-38.6742937123  13.7565227975
-30.7876040225  14.1766442014
-26.95075383  14.3868190047
-19.4930854544  14.59311436
-10.3345453439  14.5833016385
-1.59589843453  15.0025102311
0.959973224202  14.9997717972
5.85264182806  14.5659582237
12.0262889656  14.3450578875
16.2860750635  14.3404938309
21.6077649815  14.120506306
28.636412043  14.1129756127
36.0849523056  13.6764236053
44.3854497878  13.2389587866
50.7720862302  13.0178302475
55.6617121297  12.3697342198
60.5543807336  11.9359206463
65.0180280233  11.2882810242
69.9106966272  10.8544674507
74.1583119076  9.99277357716
80.5327775327  8.91451522113
85.2033287186  7.83808248772
89.2349119898  6.76233436278
92.8374739468  5.47276018926
95.3750893794  4.18432702986
98.1226514126  2.6813832134
99.5983630251  1.60837352239
100.429021314  0.107483531363
