# Int J. Heat Mass transfer. Vol. 15. pp. 1023-1044. W.M. Kays, 1972
#   kappa           B+
0.389931157337  22.1113760726
0.393582657327  22.4674771648
0.396796970923  22.6789022079
0.400156067026  23.0356420465
0.404538576731  23.3901462729
0.406728767007  23.6766240126
0.410672670882  24.0320863585
0.414908978645  24.3869099581
0.417539194186  24.5267954095
0.41929148835  24.7414141844
0.421043782514  24.9560329593
0.423380884451  25.1693742415
0.425426292219  25.3105371857
0.429370196095  25.6659995316
0.431854209693  25.8062043563
0.434336094137  26.1648604339
0.437549698015  26.4491025614
0.440763301893  26.7333446888
0.443685211602  26.9454084783
0.445729909653  27.1593885068
0.44762840576  27.3736879085
0.449820015472  27.5145314795
0.451426817411  27.6566525433
0.453618427123  27.7974961143
0.455808617398  28.083973854
0.457708532942  28.152639087
0.459168423219  28.3678966083
0.461067629045  28.5093789256
0.463258529038  28.723039581
0.465595630975  28.9363808632
0.467202432914  29.0785019269
0.468955436796  29.2203036174
0.471000844565  29.3614665616
0.473628930952  29.7198032661
0.475528846495  29.7884684992
0.477573544545  30.0024485277
0.479764444539  30.216109183
0.481809142589  30.4300892116
0.484438648413  30.6427917474
0.487067444518  30.9283113676
0.488674956175  30.9976153469
0.489989354227  31.140375157
